Reported,,,,,,,,,,,% error,,,,,,,,
discharge,longfindace,yellowbullhead,desertsucker,sonoransucker,redshiner,roundtailchub,greensunfish,fatheadminnow,speckleddace,,longfindace,yellowbullhead,desertsucker,sonoransucker,redshiner,roundtailchub,greensunfish,fatheadminnow,speckleddace
4.8,"7,080.6","6,901.2","5,467.9","4,367.9","4,368.9","1,927.9","4,341.8","4,581.6","2,135.0",,-0.182765662,0.304652904,0.439845289,1.158285901,0.259249868,3.063488634,0.267574622,-0.089712658,2.149218412
10.0,"8,198.1","8,015.1","6,135.3","6,018.6","4,815.8","2,323.6","4,741.5","4,943.2","3,077.9",,-0.166940836,0.224987536,0.443261521,0.672819872,0.105190046,2.922040505,0.39354321,-0.286754949,1.252724378
20.0,"8,534.9","8,660.6","6,430.1","7,167.4","5,180.9","2,603.3","4,911.2","5,124.1","3,563.1",,-0.287095961,0.170015043,0.344108856,0.543866514,-0.017931299,2.581336667,0.437222194,-0.046654293,1.178444239
25.0,"8,483.6","8,685.8","6,329.0","7,381.2","5,134.0","2,714.7","4,397.8","4,588.2","3,722.2",,-0.163194103,0.192255642,0.355117462,0.446299077,-0.021383216,2.731400447,0.537749788,-0.030843388,0.905826487
33.0,"8,436.0","8,715.6","6,226.9","7,591.8","5,150.1","2,724.8","3,169.0","3,429.0","3,842.5",,-0.298427827,0.338589385,0.27299697,0.630152895,-0.217522731,2.818345842,0.929288508,0.065665164,0.750342266
59.0,"6,956.7","6,752.1","5,837.0","7,365.6","4,953.4","2,695.1","2,045.8","2,221.4","3,954.2",,-0.334623502,0.403860764,0.51421675,0.55095548,-0.014033795,2.751532565,0.986982109,0.593194624,0.343749493
80.0,"5,956.4","5,574.8","4,970.3","7,146.4","4,197.8","2,378.8","1,544.2","1,702.8","3,889.7",,-0.363140921,0.199729148,0.171242364,0.500015645,-0.330683646,1.734620288,2.148813814,1.090938176,0.171479198
100.0,"6,447.4","6,066.5","5,187.2","7,541.4","4,386.1","2,486.5","2,019.2","2,313.6","4,268.0",,-0.066305669,0.34404407,0.316380316,0.452964634,0.191632379,1.099605829,1.753605791,0.73640562,0.358149527
125.0,"6,234.6","5,830.7","4,954.7","7,142.0","4,091.5","2,315.4","1,858.4","2,099.5","4,461.7",,-0.251163875,0.293693495,0.040881465,0.527485736,0.202836147,0.972962334,1.4500243,0.709735716,0.347014088
200.0,"5,036.3","4,665.8","3,878.9","5,744.8","3,265.5","1,638.6","1,563.9","1,787.5","4,095.3",,-0.10408208,0.711507348,-0.404498715,0.483679334,-0.242262463,1.688954486,2.269753105,1.214393267,0.273492983
250.0,"3,751.5","3,721.4","2,759.3","3,307.6","2,429.8","1,127.7","1,294.2","1,521.0","2,497.1",,0.12613832,1.014829747,0.338237312,0.782987167,0.25123078,2.90737408,3.714088274,2.269743249,0.715310883
400.0,"3,729.2","3,754.4","2,789.6","3,009.0","2,495.9","1,110.7","1,656.7","1,680.7","2,042.0",,0.932040771,1.510902288,0.945882266,0.95617716,1.108396044,3.029405171,1.957657985,2.236783266,1.196931632
500.0,"5,198.5","5,280.7","4,009.9","4,165.1","3,302.6","1,896.2","2,301.2","2,296.1","2,809.2",,0.513663656,1.054407032,0.330839278,0.193370901,0.486137109,1.872340777,1.617763288,1.651131803,0.250477545
750.0,"5,827.3","5,820.4","4,787.7","5,295.7","3,769.4","2,142.9","2,399.6","2,376.8","3,463.5",,0.967750032,1.081681446,1.085130967,0.464127185,0.89905469,1.329142483,1.777822499,1.79825244,0.723698601
"1,000.0","5,073.7","4,897.1","4,199.6","5,341.8","3,111.0","1,801.3","1,671.1","1,772.3","3,100.5",,1.204972117,1.340760003,1.304111018,0.638428864,1.417677599,1.86429616,2.410813887,2.218668663,0.613103127
"2,000.0","6,435.9","5,936.5","4,685.3","6,095.3","3,705.5","2,068.2","1,606.8","1,772.5","4,467.4",,1.00055603,1.103926196,0.911084595,0.902389942,0.479527984,1.298560494,2.617337886,2.549490339,1.005043984
"2,500.0","6,778.9","5,886.3","5,049.6","6,636.6","4,098.6","1,850.5","1,703.9","1,987.1","4,597.7",,1.028088096,1.376602403,1.535714958,1.0284206,1.145126611,1.943401863,2.183597794,2.26420843,1.110690147
"3,800.0","7,637.4","6,814.9","5,899.1","8,164.8","5,058.2","2,256.9","1,938.4","2,232.9","4,608.3",,0.838115202,0.727625777,1.214295227,0.783267966,0.83470818,1.970108632,1.461051439,1.532885688,3.103946464
"5,000.0","6,742.1","5,918.7","4,882.8","6,449.3","4,376.6","1,795.1","1,721.2","1,947.7","3,499.1",,1.041266358,0.979212605,1.282376193,0.970168491,1.28045529,0.412183937,1.785993342,2.137544578,1.081821609
