date,discharge
1/1/1994,13.430625
1/2/1994,13.16
1/3/1994,13.16
1/4/1994,13.16
1/5/1994,12.890625
1/6/1994,12.6225
1/7/1994,12.355625
1/8/1994,12.09
1/9/1994,12.09
1/10/1994,12.09
1/11/1994,12.09
1/12/1994,12.09
1/13/1994,12.09
1/14/1994,12.09
1/15/1994,12.09
1/16/1994,12.09
1/17/1994,12.09
1/18/1994,12.09
1/19/1994,12.09
1/20/1994,11.825625
1/21/1994,11.825625
1/22/1994,11.825625
1/23/1994,12.09
1/24/1994,12.6225
1/25/1994,12.6225
1/26/1994,12.6225
1/27/1994,12.355625
1/28/1994,11.825625
1/29/1994,11.5625
1/30/1994,11.300625
1/31/1994,11.04
2/1/1994,11.04
2/2/1994,11.04
2/3/1994,11.300625
2/4/1994,11.300625
2/5/1994,11.5625
2/6/1994,77.75
2/7/1994,121.5
2/8/1994,273
2/9/1994,188
2/10/1994,134
2/11/1994,87
2/12/1994,61
2/13/1994,46
2/14/1994,39
2/15/1994,35
2/16/1994,33
2/17/1994,37
2/18/1994,304
2/19/1994,195
2/20/1994,113
2/21/1994,89
2/22/1994,75
2/23/1994,62
2/24/1994,53
2/25/1994,48
2/26/1994,48
2/27/1994,52
2/28/1994,53
3/1/1994,49
3/2/1994,45
3/3/1994,44
3/4/1994,43
3/5/1994,41
3/6/1994,38
3/7/1994,37
3/8/1994,41
3/9/1994,43
3/10/1994,46
3/11/1994,39
3/12/1994,35
3/13/1994,31
3/14/1994,29
3/15/1994,28
3/16/1994,26
3/17/1994,25
3/18/1994,24
3/19/1994,25
3/20/1994,44
3/21/1994,101
3/22/1994,58
3/23/1994,43
3/24/1994,36
3/25/1994,32
3/26/1994,49
3/27/1994,55
3/28/1994,66
3/29/1994,57
3/30/1994,48
3/31/1994,40
4/1/1994,34
4/2/1994,31
4/3/1994,28
4/4/1994,26
4/5/1994,25
4/6/1994,23
4/7/1994,23
4/8/1994,22
4/9/1994,21
4/10/1994,20.25
4/11/1994,19.700625
4/12/1994,19.105625
4/13/1994,18.2225
4/14/1994,17.350625
4/15/1994,16.49
4/16/1994,15.9225
4/17/1994,15.640625
4/18/1994,15.080625
4/19/1994,14.8025
4/20/1994,14.25
4/21/1994,13.7025
4/22/1994,13.430625
4/23/1994,14.25
4/24/1994,15.080625
4/25/1994,17.0625
4/26/1994,20.25
4/27/1994,21
4/28/1994,25
4/29/1994,26
4/30/1994,39
5/1/1994,34
5/2/1994,27
5/3/1994,22
5/4/1994,17.930625
5/5/1994,15.640625
5/6/1994,14.25
5/7/1994,13.430625
5/8/1994,13.430625
5/9/1994,13.975625
5/10/1994,14.525625
5/11/1994,14.8025
5/12/1994,14.525625
5/13/1994,13.7025
5/14/1994,12.6225
5/15/1994,11.825625
5/16/1994,11.04
5/17/1994,10.5225
5/18/1994,10.265625
5/19/1994,10.01
5/20/1994,10.01
5/21/1994,9.755625
5/22/1994,9.755625
5/23/1994,10.01
5/24/1994,10.01
5/25/1994,10.265625
5/26/1994,10.01
5/27/1994,9.5025
5/28/1994,9.17530625
5/29/1994,8.82530625
5/30/1994,8.651225
5/31/1994,8.47775625
6/1/1994,8.354225
6/2/1994,8.23100625
6/3/1994,8.18180625
6/4/1994,8.1081
6/5/1994,8.059025
6/6/1994,8.01
6/7/1994,7.93655625
6/8/1994,7.863225
6/9/1994,7.765625
6/10/1994,7.668225
6/11/1994,7.571025
6/12/1994,7.49825625
6/13/1994,7.4256
6/14/1994,7.377225
6/15/1994,7.377225
6/16/1994,7.49825625
6/17/1994,7.69255625
6/18/1994,7.9121
6/19/1994,7.961025
6/20/1994,7.83880625
6/21/1994,7.6196
6/22/1994,7.30475625
6/23/1994,7.11205625
6/24/1994,6.92015625
6/25/1994,6.77675625
6/26/1994,6.7529
6/27/1994,6.72905625
6/28/1994,6.7529
6/29/1994,6.77675625
6/30/1994,6.7529
7/1/1994,6.72905625
7/2/1994,6.6576
7/3/1994,6.610025
7/4/1994,6.53875625
7/5/1994,6.49130625
7/6/1994,6.4676
7/7/1994,6.420225
7/8/1994,6.39655625
7/9/1994,6.34925625
7/10/1994,6.325625
7/11/1994,6.2784
7/12/1994,6.231225
7/13/1994,6.20765625
7/14/1994,6.1841
7/15/1994,6.231225
7/16/1994,6.420225
7/17/1994,6.82450625
7/18/1994,7.088025
7/19/1994,7.16015625
7/20/1994,7.04
7/21/1994,6.7529
7/22/1994,6.8484
7/23/1994,6.96805625
7/24/1994,7.1361
7/25/1994,7.088025
7/26/1994,6.800625
7/27/1994,6.610025
7/28/1994,7.30475625
7/29/1994,7.5225
7/30/1994,7.54675625
7/31/1994,7.571025
8/1/1994,6.68140625
8/2/1994,6.39655625
8/3/1994,6.325625
8/4/1994,6.325625
8/5/1994,6.4676
8/6/1994,7.88765625
8/7/1994,8.32955625
8/8/1994,8.67605625
8/9/1994,8.62640625
8/10/1994,7.280625
8/11/1994,12.6225
8/12/1994,14.305025
8/13/1994,30
8/14/1994,14.83025625
8/15/1994,8.92505625
8/16/1994,7.06400625
8/17/1994,6.610025
8/18/1994,6.515025
8/19/1994,6.515025
8/20/1994,6.49130625
8/21/1994,6.49130625
8/22/1994,6.44390625
8/23/1994,6.3729
8/24/1994,6.3729
8/25/1994,11.53625625
8/26/1994,13.322225
8/27/1994,28
8/28/1994,13.78430625
8/29/1994,8.42830625
8/30/1994,7.06400625
8/31/1994,6.82450625
9/1/1994,7.64390625
9/2/1994,8.157225
9/3/1994,8.5025
9/4/1994,8.6016
9/5/1994,7.8144
9/6/1994,7.35305625
9/7/1994,6.77675625
9/8/1994,6.610025
9/9/1994,6.77675625
9/10/1994,7.088025
9/11/1994,7.11205625
9/12/1994,7.44980625
9/13/1994,7.2324
9/14/1994,6.87230625
9/15/1994,6.82450625
9/16/1994,6.49130625
9/17/1994,6.420225
9/18/1994,6.39655625
9/19/1994,6.515025
9/20/1994,6.610025
9/21/1994,6.63380625
9/22/1994,6.610025
9/23/1994,6.4676
9/24/1994,6.30200625
9/25/1994,6.231225
9/26/1994,6.1841
9/27/1994,6.137025
9/28/1994,6.137025
9/29/1994,6.137025
9/30/1994,6.11350625
10/1/1994,6.11350625
10/2/1994,6.11350625
10/3/1994,6.09
10/4/1994,6.137025
10/5/1994,6.16055625
10/6/1994,6.137025
10/7/1994,6.11350625
10/8/1994,6.09
10/9/1994,6.06650625
10/10/1994,6.01955625
