,date,discharge,discharge.fdc
1,10/1/1988,145,0.548594634
2,10/2/1988,144,0.55242745
3,10/3/1988,142,0.560047454
4,10/4/1988,142,0.560047454
5,10/5/1988,145,0.548594634
6,10/6/1988,147,0.541795948
7,10/7/1988,147,0.541795948
8,10/8/1988,147,0.541795948
9,10/9/1988,145,0.548594634
10,10/10/1988,170,0.455511955
11,10/11/1988,185,0.401806899
12,10/12/1988,156,0.509445154
13,10/13/1988,153,0.520122285
14,10/14/1988,214,0.251733893
15,10/15/1988,185,0.401806899
16,10/16/1988,168,0.462995072
17,10/17/1988,164,0.478736996
18,10/18/1988,158,0.502646468
19,10/19/1988,155,0.512867312
20,10/20/1988,153,0.520122285
21,10/21/1988,153,0.520122285
22,10/22/1988,158,0.502646468
23,10/23/1988,156,0.509445154
24,10/24/1988,159,0.498129221
25,10/25/1988,154,0.516563241
26,10/26/1988,155,0.512867312
27,10/27/1988,145,0.548594634
28,10/28/1988,147,0.541795948
29,10/29/1988,147,0.541795948
30,10/30/1988,152,0.523544442
31,10/31/1988,154,0.516563241
32,11/1/1988,147,0.541795948
33,11/2/1988,142,0.560047454
34,11/3/1988,137,0.57866399
35,11/4/1988,144,0.55242745
36,11/5/1988,151,0.5269666
37,11/6/1988,150,0.530616901
38,11/7/1988,149,0.533902172
39,11/8/1988,158,0.502646468
40,11/9/1988,164,0.478736996
41,11/10/1988,155,0.512867312
42,11/11/1988,154,0.516563241
43,11/12/1988,155,0.512867312
44,11/13/1988,166,0.470980106
45,11/14/1988,175,0.437807994
46,11/15/1988,172,0.447755065
47,11/16/1988,180,0.422248586
48,11/17/1988,179,0.425898887
49,11/18/1988,186,0.396833364
50,11/19/1988,194,0.357136339
51,11/20/1988,196,0.34673298
52,11/21/1988,196,0.34673298
53,11/22/1988,194,0.357136339
54,11/23/1988,197,0.3412119
55,11/24/1988,199,0.328572732
56,11/25/1988,206,0.290198941
57,11/26/1988,219,0.234942508
58,11/27/1988,222,0.22672933
59,11/28/1988,209,0.275187078
60,11/29/1988,198,0.335006388
61,11/30/1988,199,0.328572732
62,12/1/1988,197,0.3412119
63,12/2/1988,199,0.328572732
64,12/3/1988,200,0.322275963
65,12/4/1988,198,0.335006388
66,12/5/1988,197,0.3412119
67,12/6/1988,198,0.335006388
68,12/7/1988,197,0.3412119
69,12/8/1988,200,0.322275963
70,12/9/1988,218,0.23818215
71,12/10/1988,202,0.310503742
72,12/11/1988,199,0.328572732
73,12/12/1988,200,0.322275963
74,12/13/1988,199,0.328572732
75,12/14/1988,199,0.328572732
76,12/15/1988,196,0.34673298
77,12/16/1988,200,0.322275963
78,12/17/1988,214,0.251733893
79,12/18/1988,213,0.255840482
80,12/19/1988,213,0.255840482
81,12/20/1988,212,0.260448987
82,12/21/1988,217,0.241376164
83,12/22/1988,215,0.247764191
84,12/23/1988,212,0.260448987
85,12/24/1988,212,0.260448987
86,12/25/1988,214,0.251733893
87,12/26/1988,214,0.251733893
88,12/27/1988,214,0.251733893
89,12/28/1988,212,0.260448987
90,12/29/1988,210,0.270213543
91,12/30/1988,207,0.285271035
92,12/31/1988,207,0.285271035
93,1/1/1989,207,0.285271035
94,1/2/1989,205,0.295172477
95,1/3/1989,205,0.295172477
96,1/4/1989,232,0.204736266
97,1/5/1989,259,0.165541157
98,1/6/1989,278,0.153038876
99,1/7/1989,249,0.177906552
100,1/8/1989,242,0.1890856
101,1/9/1989,226,0.215367768
102,1/10/1989,214,0.251733893
103,1/11/1989,208,0.280114984
104,1/12/1989,205,0.295172477
105,1/13/1989,203,0.30539332
106,1/14/1989,205,0.295172477
107,1/15/1989,205,0.295172477
108,1/16/1989,205,0.295172477
109,1/17/1989,204,0.300511042
110,1/18/1989,205,0.295172477
111,1/19/1989,204,0.300511042
112,1/20/1989,201,0.316298595
113,1/21/1989,204,0.300511042
114,1/22/1989,205,0.295172477
115,1/23/1989,205,0.295172477
116,1/24/1989,203,0.30539332
117,1/25/1989,201,0.316298595
118,1/26/1989,201,0.316298595
119,1/27/1989,217,0.241376164
120,1/28/1989,214,0.251733893
121,1/29/1989,210,0.270213543
122,1/30/1989,207,0.285271035
123,1/31/1989,207,0.285271035
124,2/1/1989,206,0.290198941
125,2/2/1989,200,0.322275963
126,2/3/1989,196,0.34673298
127,2/4/1989,205,0.295172477
128,2/5/1989,215,0.247764191
129,2/6/1989,210,0.270213543
130,2/7/1989,222,0.22672933
131,2/8/1989,214,0.251733893
132,2/9/1989,213,0.255840482
133,2/10/1989,206,0.290198941
134,2/11/1989,209,0.275187078
135,2/12/1989,229,0.209618544
136,2/13/1989,255,0.169556488
137,2/14/1989,254,0.170697208
138,2/15/1989,237,0.196614346
139,2/16/1989,217,0.241376164
140,2/17/1989,201,0.316298595
141,2/18/1989,200,0.322275963
142,2/19/1989,210,0.270213543
143,2/20/1989,298,0.141951086
144,2/21/1989,337,0.127304253
145,2/22/1989,320,0.133555393
146,2/23/1989,289,0.146513962
147,2/24/1989,275,0.154225224
148,2/25/1989,318,0.134513597
149,2/26/1989,391,0.111607958
150,2/27/1989,480,0.096276693
151,2/28/1989,558,0.087379084
152,3/1/1989,444,0.101843402
153,3/2/1989,383,0.113341851
154,3/3/1989,368,0.117722212
155,3/4/1989,427,0.104672385
156,3/5/1989,366,0.11854353
157,3/6/1989,310,0.137616353
158,3/7/1989,331,0.128810002
159,3/8/1989,599,0.082953094
160,3/9/1989,578,0.085873335
161,3/10/1989,494,0.094405913
162,3/11/1989,429,0.104033583
163,3/12/1989,368,0.117722212
164,3/13/1989,293,0.144688812
165,3/14/1989,238,0.195062968
166,3/15/1989,205,0.295172477
167,3/16/1989,193,0.360969155
168,3/17/1989,179,0.425898887
169,3/18/1989,171,0.451542252
170,3/19/1989,169,0.459116627
171,3/20/1989,168,0.462995072
172,3/21/1989,135,0.587379084
173,3/22/1989,117,0.657556123
174,3/23/1989,109,0.692142727
175,3/24/1989,99,0.734303705
176,3/25/1989,97,0.743475087
177,3/26/1989,153,0.520122285
178,3/27/1989,223,0.224174119
179,3/28/1989,235,0.199352072
180,3/29/1989,389,0.112109874
181,3/30/1989,555,0.087972258
182,3/31/1989,456,0.100109509
183,4/1/1989,320,0.133555393
184,4/2/1989,249,0.177906552
185,4/3/1989,223,0.224174119
186,4/4/1989,190,0.375250958
187,4/5/1989,153,0.520122285
188,4/6/1989,126,0.621235627
189,4/7/1989,110,0.688446797
190,4/8/1989,102,0.720569447
191,4/9/1989,99,0.734303705
192,4/10/1989,118,0.653130133
193,4/11/1989,122,0.636703778
194,4/12/1989,101,0.725542982
195,4/13/1989,102,0.720569447
196,4/14/1989,98,0.738957839
197,4/15/1989,97,0.743475087
198,4/16/1989,109,0.692142727
199,4/17/1989,116,0.662073371
200,4/18/1989,121,0.640947253
201,4/19/1989,104,0.711763095
202,4/20/1989,97,0.743475087
203,4/21/1989,97,0.743475087
204,4/22/1989,104,0.711763095
205,4/23/1989,113,0.674849425
206,4/24/1989,111,0.684203322
207,4/25/1989,102,0.720569447
208,4/26/1989,98,0.738957839
209,4/27/1989,101,0.725542982
210,4/28/1989,105,0.707610878
211,4/29/1989,102,0.720569447
212,4/30/1989,103,0.715687169
213,5/1/1989,112,0.679366673
214,5/2/1989,103,0.715687169
215,5/3/1989,100,0.72896514
216,5/4/1989,95,0.753239642
217,5/5/1989,83,0.816754882
218,5/6/1989,86,0.800009126
219,5/7/1989,80,0.831629859
220,5/8/1989,81,0.826610695
221,5/9/1989,81,0.826610695
222,5/10/1989,86,0.800009126
223,5/11/1989,83,0.816754882
224,5/12/1989,93,0.764966235
225,5/13/1989,93,0.764966235
226,5/14/1989,94,0.758669465
227,5/15/1989,99,0.734303705
228,5/16/1989,94,0.758669465
229,5/17/1989,102,0.720569447
230,5/18/1989,110,0.688446797
231,5/19/1989,98,0.738957839
232,5/20/1989,96,0.748402993
233,5/21/1989,91,0.776464683
234,5/22/1989,82,0.821545903
235,5/23/1989,82,0.821545903
236,5/24/1989,73,0.862976821
237,5/25/1989,68,0.885836832
238,5/26/1989,70,0.877258624
239,5/27/1989,77,0.845501004
240,5/28/1989,77,0.845501004
241,5/29/1989,81,0.826610695
242,5/30/1989,81,0.826610695
