"","date","discharge"
"1",1989-01-01,5.86224
"2",1989-01-02,5.8056
"3",1989-01-03,5.8056
"4",1989-01-04,4.92768
"5",1989-01-05,5.50116
"6",1989-01-06,5.90472
"7",1989-01-07,5.28876
"8",1989-01-08,5.14008
"9",1989-01-09,4.80024
"10",1989-01-10,6.06048
"11",1989-01-11,5.89056
"12",1989-01-12,5.8056
"13",1989-01-13,5.74896
"14",1989-01-14,5.8056
"15",1989-01-15,5.8056
"16",1989-01-16,5.8056
"17",1989-01-17,5.77728
"18",1989-01-18,5.8056
"19",1989-01-19,5.77728
"20",1989-01-20,5.69232
"21",1989-01-21,5.77728
"22",1989-01-22,5.8056
"23",1989-01-23,5.8056
"24",1989-01-24,5.74896
"25",1989-01-25,5.69232
"26",1989-01-26,5.69232
"27",1989-01-27,6.14544
"28",1989-01-28,6.06048
"29",1989-01-29,5.9472
"30",1989-01-30,5.86224
"31",1989-01-31,5.86224
"32",1990-01-01,6.06048
"33",1990-01-02,6.03216
"34",1990-01-03,6.20208
"35",1990-01-04,6.14544
"36",1990-01-05,6.0888
"37",1990-01-06,5.9472
"38",1990-01-07,5.91888
"39",1990-01-08,5.86224
"40",1990-01-09,5.83392
"41",1990-01-10,5.86224
"42",1990-01-11,5.83392
"43",1990-01-12,5.83392
"44",1990-01-13,5.86224
"45",1990-01-14,5.83392
"46",1990-01-15,5.97552
"47",1990-01-16,6.06048
"48",1990-01-17,6.17376
"49",1990-01-18,5.16132
"50",1990-01-19,5.07636
"51",1990-01-20,4.779
"52",1990-01-21,6.14544
"53",1990-01-22,6.06048
"54",1990-01-23,6.00384
"55",1990-01-24,5.9472
"56",1990-01-25,5.83392
"57",1990-01-26,5.83392
"58",1990-01-27,5.83392
"59",1990-01-28,5.8056
"60",1990-01-29,5.83392
"61",1990-01-30,5.83392
"62",1990-01-31,5.8056
"63",1991-01-01,5.57904
"64",1991-01-02,5.46576
"65",1991-01-03,5.46576
"66",1991-01-04,5.664
"67",1991-01-05,22.9392
"68",1991-01-06,28.2492
"69",1991-01-07,20.83644
"70",1991-01-08,15.16536
"71",1991-01-09,11.7882
"72",1991-01-10,9.7704
"73",1991-01-11,8.30484
"74",1991-01-12,7.434
"75",1991-01-13,6.73308
"76",1991-01-14,5.79852
"77",1991-01-15,5.50116
"78",1991-01-16,5.31
"79",1991-01-17,5.22504
"80",1991-01-18,5.07636
"81",1991-01-19,4.94892
"82",1991-01-20,4.8852
"83",1991-01-21,4.80024
"84",1991-01-22,4.75776
"85",1991-01-23,4.73652
"86",1991-01-24,6.20208
"87",1991-01-25,6.17376
"88",1991-01-26,6.0888
"89",1991-01-27,6.06048
"90",1991-01-28,6.03216
"91",1991-01-29,6.00384
"92",1991-01-30,5.89056
"93",1991-01-31,5.89056
"94",1992-01-01,5.37372
"95",1992-01-02,5.28876
"96",1992-01-03,5.05512
"97",1992-01-04,5.22504
"98",1992-01-05,5.60736
"99",1992-01-06,22.5144
"100",1992-01-07,28.0368
"101",1992-01-08,18.9036
"102",1992-01-09,13.57236
"103",1992-01-10,10.98108
"104",1992-01-11,9.09072
"105",1992-01-12,8.45352
"106",1992-01-13,7.8588
"107",1992-01-14,7.24284
"108",1992-01-15,6.4782
"109",1992-01-16,6.01092
"110",1992-01-17,5.69232
"111",1992-01-18,5.45868
"112",1992-01-19,5.28876
"113",1992-01-20,5.2038
"114",1992-01-21,5.16132
"115",1992-01-22,5.05512
"116",1992-01-23,4.97016
"117",1992-01-24,4.94892
"118",1992-01-25,4.9914
"119",1992-01-26,5.28876
"120",1992-01-27,5.96844
"121",1992-01-28,6.81804
"122",1992-01-29,7.03044
"123",1992-01-30,6.83928
"124",1992-01-31,6.39324
"125",1993-01-01,35.8956
"126",1993-01-02,26.3376
"127",1993-01-03,25.2756
"128",1993-01-04,18.96732
"129",1993-01-05,14.03964
"130",1993-01-06,11.76696
"131",1993-01-07,286.74
"132",1993-01-08,1346.616
"133",1993-01-09,399.312
"134",1993-01-10,111.7224
"135",1993-01-11,114.2712
"136",1993-01-12,91.7568
"137",1993-01-13,44.8164
"138",1993-01-14,62.2332
"139",1993-01-15,116.6076
"140",1993-01-16,81.3492
"141",1993-01-17,592.596
"142",1993-01-18,369.576
"143",1993-01-19,333.468
"144",1993-01-20,162.2736
"145",1993-01-21,100.0404
"146",1993-01-22,75.402
"147",1993-01-23,71.7912
"148",1993-01-24,47.5776
"149",1993-01-25,31.4352
"150",1993-01-26,24.6384
"151",1993-01-27,21.04884
"152",1993-01-28,19.24344
"153",1993-01-29,17.75664
"154",1993-01-30,17.4168
"155",1993-01-31,39.9312
"156",1994-01-01,4.9914
"157",1994-01-02,4.97016
"158",1994-01-03,4.9914
"159",1994-01-04,4.97016
"160",1994-01-05,4.97016
"161",1994-01-06,4.92768
"162",1994-01-07,4.94892
"163",1994-01-08,4.8852
"164",1994-01-09,4.8852
"165",1994-01-10,4.8852
"166",1994-01-11,4.86396
"167",1994-01-12,4.84272
"168",1994-01-13,4.82148
"169",1994-01-14,6.20208
"170",1994-01-15,4.6728
"171",1994-01-16,4.75776
"172",1994-01-17,4.6728
"173",1994-01-18,4.69404
"174",1994-01-19,4.71528
"175",1994-01-20,4.69404
"176",1994-01-21,6.11712
"177",1994-01-22,6.17376
"178",1994-01-23,6.11712
"179",1994-01-24,6.0888
"180",1994-01-25,4.71528
"181",1994-01-26,4.86396
"182",1994-01-27,4.94892
"183",1994-01-28,4.90644
"184",1994-01-29,4.90644
"185",1994-01-30,4.82148
"186",1994-01-31,4.82148
"187",1995-01-01,4.86396
"188",1995-01-02,4.75776
"189",1995-01-03,4.71528
"190",1995-01-04,4.779
"191",1995-01-05,6.30828
"192",1995-01-06,13.275
"193",1995-01-07,10.13148
"194",1995-01-08,9.19692
"195",1995-01-09,7.434
"196",1995-01-10,7.41276
"197",1995-01-11,7.2216
"198",1995-01-12,10.81116
"199",1995-01-13,38.232
"200",1995-01-14,32.2848
"201",1995-01-15,21.6648
"202",1995-01-16,16.43976
"203",1995-01-17,13.275
"204",1995-01-18,10.53504
"205",1995-01-19,8.9208
"206",1995-01-20,7.81632
"207",1995-01-21,7.03044
"208",1995-01-22,6.54192
"209",1995-01-23,6.20208
"210",1995-01-24,5.92596
"211",1995-01-25,5.841
"212",1995-01-26,8.45352
"213",1995-01-27,18.24516
"214",1995-01-28,17.86284
"215",1995-01-29,14.37948
"216",1995-01-30,11.97936
"217",1995-01-31,9.79164
"218",1996-01-01,6.20208
"219",1996-01-02,6.17376
"220",1996-01-03,6.0888
"221",1996-01-04,6.17376
"222",1996-01-05,4.69404
"223",1996-01-06,4.69404
"224",1996-01-07,6.17376
"225",1996-01-08,6.0888
"226",1996-01-09,6.20208
"227",1996-01-10,6.17376
"228",1996-01-11,6.0888
"229",1996-01-12,6.0888
"230",1996-01-13,5.97552
"231",1996-01-14,5.91888
"232",1996-01-15,5.9472
"233",1996-01-16,5.9472
"234",1996-01-17,5.91888
"235",1996-01-18,5.89056
"236",1996-01-19,6.03216
"237",1996-01-20,6.20208
"238",1996-01-21,6.17376
"239",1996-01-22,4.69404
"240",1996-01-23,6.17376
"241",1996-01-24,6.14544
"242",1996-01-25,6.11712
"243",1996-01-26,6.11712
"244",1996-01-27,5.91888
"245",1996-01-28,5.89056
"246",1996-01-29,6.03216
"247",1996-01-30,6.00384
"248",1996-01-31,6.03216
"249",1997-01-01,5.32416
"250",1997-01-02,5.2392
"251",1997-01-03,5.21088
"252",1997-01-04,5.40912
"253",1997-01-05,5.72064
"254",1997-01-06,5.55072
