"","scene","month","mon_avg"
"1","baseline_q",1,1197.73976867732
"2","baseline_q",2,1198.33485382942
"3","baseline_q",3,1204.03520474092
"4","baseline_q",4,1239.52222876952
"5","baseline_q",5,1205.56778646737
"6","baseline_q",6,1169.41678256372
"7","baseline_q",7,1125.03146649767
"8","baseline_q",8,1103.84290225527
"9","baseline_q",9,1113.81054027478
"10","baseline_q",10,1114.6751956582
"11","baseline_q",11,1129.449712848
"12","baseline_q",12,1141.69238117553
"13","baseline_q",NA,448.3719585273
"14","scenario_A",1,4713.00449386266
"15","scenario_A",2,4997.06658866552
"16","scenario_A",3,4709.19447878016
"17","scenario_A",4,2731.38326623693
"18","scenario_A",5,1795.09302546296
"19","scenario_A",6,1216.59469765225
"20","scenario_A",7,1193.29167755259
"21","scenario_A",8,1873.69263139178
"22","scenario_A",9,2349.20281951652
"23","scenario_A",10,2464.26825794656
"24","scenario_A",11,3605.16859275811
"25","scenario_A",12,4376.23261549398
"26","scenario_B",1,1374.57451017399
"27","scenario_B",2,1383.4638201572
"28","scenario_B",3,1385.59270875848
"29","scenario_B",4,1395.52772684534
"30","scenario_B",5,1312.31940128759
"31","scenario_B",6,1247.3376986911
"32","scenario_B",7,1172.92086612275
"33","scenario_B",8,1103.84290225527
"34","scenario_B",9,1113.81054027478
"35","scenario_B",10,1114.6751956582
"36","scenario_B",11,1129.449712848
"37","scenario_B",12,1193.89535749015
"38","scenario_B",NA,448.3719585273
