"","scene","month","mon_avg"
"1","baseline_q",1,13414.9561712346
"2","baseline_q",2,13341.4226376444
"3","baseline_q",3,13321.889727262
"4","baseline_q",4,13459.9567717866
"5","baseline_q",5,13195.4094178983
"6","baseline_q",6,12729.6577251192
"7","baseline_q",7,12529.8631119682
"8","baseline_q",8,12563.3245767298
"9","baseline_q",9,12761.0968729183
"10","baseline_q",10,12802.3602923567
"11","baseline_q",11,12921.6780717722
"12","baseline_q",12,12808.2732454964
"13","baseline_q",NA,3473.3857372166
"14","scenario_A",1,1028.75217356884
"15","scenario_A",2,1138.28206783307
"16","scenario_A",3,1168.81229869699
"17","scenario_A",4,362.146638657563
"18","scenario_A",5,217.254496646326
"19","scenario_A",6,147.240652663593
"20","scenario_A",7,144.420360996098
"21","scenario_A",8,226.767161216042
"22","scenario_A",9,284.316672637377
"23","scenario_A",10,298.24268290699
"24","scenario_A",11,446.651292380037
"25","scenario_A",12,534.935632551073
"26","scenario_B",1,10253.4412629694
"27","scenario_B",2,10189.6840743921
"28","scenario_B",3,10218.616998722
"29","scenario_B",4,10394.7175289799
"30","scenario_B",5,10164.8668230482
"31","scenario_B",6,9817.82818510716
"32","scenario_B",7,9704.55230840599
"33","scenario_B",8,9676.90918598503
"34","scenario_B",9,9797.92176265357
"35","scenario_B",10,9754.24209997026
"36","scenario_B",11,9702.50457871969
"37","scenario_B",12,9454.60840348489
"38","scenario_B",NA,1275.09402825395
