"","scene","month","mon_avg"
"1","baseline_q",1,1321.13461961005
"2","baseline_q",2,1338.76842174012
"3","baseline_q",3,1331.99742168209
"4","baseline_q",4,1319.42624416105
"5","baseline_q",5,1300.27061365339
"6","baseline_q",6,1284.67742869148
"7","baseline_q",7,1268.69476391283
"8","baseline_q",8,1260.08933975209
"9","baseline_q",9,1269.85589102021
"10","baseline_q",10,1289.36014999413
"11","baseline_q",11,1291.51025343516
"12","baseline_q",12,1287.10797797067
"13","baseline_q",NA,806.1987648084
"14","scenario_A",1,282.199102786441
"15","scenario_A",2,318.665819577317
"16","scenario_A",3,318.590532052126
"17","scenario_A",4,121.482372662054
"18","scenario_A",5,73.7989983211474
"19","scenario_A",6,50.0160541966342
"20","scenario_A",7,49.0580316781249
"21","scenario_A",8,77.0303473953761
"22","scenario_A",9,96.5792928134306
"23","scenario_A",10,101.309807598496
"24","scenario_A",11,151.344754603214
"25","scenario_A",12,181.711837766126
"26","scenario_B",1,1076.41891985414
"27","scenario_B",2,1083.34252644577
"28","scenario_B",3,1083.23452280301
"29","scenario_B",4,1088.09797471425
"30","scenario_B",5,1089.1976870283
"31","scenario_B",6,1084.48839357161
"32","scenario_B",7,1077.06796685489
"33","scenario_B",8,1068.01218595587
"34","scenario_B",9,1060.06861319805
"35","scenario_B",10,1057.89027170232
"36","scenario_B",11,1064.48454917684
"37","scenario_B",12,1062.53716990671
"38","scenario_B",NA,433.135624362275
