"","scene","month","mon_avg"
"1","baseline_q",1,5319.32991426672
"2","baseline_q",2,5471.9950160508
"3","baseline_q",3,5447.13636902562
"4","baseline_q",4,5534.23940017004
"5","baseline_q",5,5640.03015435556
"6","baseline_q",6,5848.22543100756
"7","baseline_q",7,5904.77008780896
"8","baseline_q",8,5994.9214257443
"9","baseline_q",9,6166.11381285088
"10","baseline_q",10,6152.44227969831
"11","baseline_q",11,6027.41956483788
"12","baseline_q",12,5979.21890955558
"13","baseline_q",NA,1542.72672604312
"14","scenario_A",1,4840.691749522
"15","scenario_A",2,5597.70546687529
"16","scenario_A",3,5509.54964433934
"17","scenario_A",4,2555.07210625496
"18","scenario_A",5,1562.20645969544
"19","scenario_A",6,1058.75966790825
"20","scenario_A",7,1038.47986735545
"21","scenario_A",8,1630.60893821315
"22","scenario_A",9,2044.42876649079
"23","scenario_A",10,2144.56617923392
"24","scenario_A",11,3199.66030679068
"25","scenario_A",12,3846.54823533056
"26","scenario_B",1,5017.57556560445
"27","scenario_B",2,5164.50551466042
"28","scenario_B",3,5141.43972215583
"29","scenario_B",4,5261.213056823
"30","scenario_B",5,5393.63350411228
"31","scenario_B",6,5592.89342220454
"32","scenario_B",7,5546.97007656166
"33","scenario_B",8,5660.79452676967
"34","scenario_B",9,5801.68998704338
"35","scenario_B",10,5777.70127161608
"36","scenario_B",11,5768.99193901275
"37","scenario_B",12,5769.57123250319
"38","scenario_B",NA,1542.72672604312
