"","scene","month","mon_avg"
"1","baseline_q",1,1589.56937153236
"2","baseline_q",2,1629.31292183271
"3","baseline_q",3,1650.18445700924
"4","baseline_q",4,1668.41849158169
"5","baseline_q",5,1678.58008646561
"6","baseline_q",6,1723.10527891742
"7","baseline_q",7,1737.79695628769
"8","baseline_q",8,1726.34353253391
"9","baseline_q",9,1762.57502116189
"10","baseline_q",10,1755.04254563396
"11","baseline_q",11,1713.67175928456
"12","baseline_q",12,1687.30137560084
"13","baseline_q",NA,1117.15394261313
"14","scenario_A",1,1125.1992423651
"15","scenario_A",2,1310.9206607223
"16","scenario_A",3,1292.2992863525
"17","scenario_A",4,567.761416708754
"18","scenario_A",5,346.000217928464
"19","scenario_A",6,234.495942297882
"20","scenario_A",7,230.00433661589
"21","scenario_A",8,361.150118459914
"22","scenario_A",9,452.803657515881
"23","scenario_A",10,474.982266762363
"24","scenario_A",11,709.124130419778
"25","scenario_A",12,851.940228154084
"26","scenario_B",1,1481.37157068366
"27","scenario_B",2,1520.94068918292
"28","scenario_B",3,1541.81222435945
"29","scenario_B",4,1563.707987993
"30","scenario_B",5,1569.55696389965
"31","scenario_B",6,1582.23311806032
"32","scenario_B",7,1561.45879210584
"33","scenario_B",8,1572.52181547352
"34","scenario_B",9,1580.47517328432
"35","scenario_B",10,1582.53843444566
"36","scenario_B",11,1569.81109908701
"37","scenario_B",12,1553.35718554497
"38","scenario_B",NA,1117.15394261313
