"","scene","month","mon_avg"
"1","baseline_q",1,17099.2409919879
"2","baseline_q",2,17198.7423924013
"3","baseline_q",3,17191.2697187954
"4","baseline_q",4,17188.3666482018
"5","baseline_q",5,16972.6795826544
"6","baseline_q",6,16501.3381593418
"7","baseline_q",7,16209.8812236234
"8","baseline_q",8,16257.7803821651
"9","baseline_q",9,16499.1250865203
"10","baseline_q",10,16530.6722618267
"11","baseline_q",11,16565.4998991929
"12","baseline_q",12,16495.2847217411
"13","baseline_q",NA,9631.93211165013
"14","scenario_A",1,3801.18869216988
"15","scenario_A",2,4409.86524785752
"16","scenario_A",3,4222.8612281321
"17","scenario_A",4,1673.56953902259
"18","scenario_A",5,1014.58381424185
"19","scenario_A",6,687.617450027186
"20","scenario_A",7,674.446618944508
"21","scenario_A",8,1059.00819049979
"22","scenario_A",9,1327.76581672588
"23","scenario_A",10,1392.80062537022
"24","scenario_A",11,2081.52409506355
"25","scenario_A",12,2498.16249065296
"26","scenario_B",1,14012.874771031
"27","scenario_B",2,14095.1235554221
"28","scenario_B",3,14053.4524925942
"29","scenario_B",4,14106.349264353
"30","scenario_B",5,13902.3040502829
"31","scenario_B",6,13513.2461450238
"32","scenario_B",7,13334.356163416
"33","scenario_B",8,13329.4074363728
"34","scenario_B",9,13463.6748955751
"35","scenario_B",10,13533.7683342495
"36","scenario_B",11,13647.886203028
"37","scenario_B",12,13513.6644173017
"38","scenario_B",NA,5954.7203057846
