"","scene","month","mon_avg"
"1","baseline_q",1,2212.11177724604
"2","baseline_q",2,2249.04070361573
"3","baseline_q",3,2305.86891912117
"4","baseline_q",4,2323.19095195058
"5","baseline_q",5,2332.94519537585
"6","baseline_q",6,2343.91882712868
"7","baseline_q",7,2367.15283639488
"8","baseline_q",8,2395.94854467674
"9","baseline_q",9,2382.3813704202
"10","baseline_q",10,2379.88456841614
"11","baseline_q",11,2349.18565289526
"12","baseline_q",12,2289.82372816352
"13","baseline_q",NA,1913.91729850514
"14","scenario_A",1,778.938300783327
"15","scenario_A",2,922.037692449205
"16","scenario_A",3,900.905461181068
"17","scenario_A",4,335.239275319763
"18","scenario_A",5,202.122653737013
"19","scenario_A",6,136.985295649752
"20","scenario_A",7,134.361438169489
"21","scenario_A",8,210.972758276258
"22","scenario_A",9,264.513928421448
"23","scenario_A",10,277.469987767117
"24","scenario_A",11,415.127406862027
"25","scenario_A",12,497.677200236392
"26","scenario_B",1,2066.90161315874
"27","scenario_B",2,2094.92141824024
"28","scenario_B",3,2121.15352091974
"29","scenario_B",4,2095.75074885984
"30","scenario_B",5,2055.36626137072
"31","scenario_B",6,2020.89102689734
"32","scenario_B",7,1997.60592203684
"33","scenario_B",8,1983.75068928741
"34","scenario_B",9,1974.36330912936
"35","scenario_B",10,1996.00407545038
"36","scenario_B",11,2013.79673438877
"37","scenario_B",12,1986.34710511282
"38","scenario_B",NA,1186.28333467575
