"","scene","month","mon_avg"
"1","baseline_q",1,1636.07414171764
"2","baseline_q",2,1688.05933152117
"3","baseline_q",3,1684.50256989934
"4","baseline_q",4,1646.9088479165
"5","baseline_q",5,1576.48534076461
"6","baseline_q",6,1515.42043756927
"7","baseline_q",7,1496.00981075322
"8","baseline_q",8,1531.94571311814
"9","baseline_q",9,1559.35098239919
"10","baseline_q",10,1578.9467255852
"11","baseline_q",11,1628.47331653452
"12","baseline_q",12,1606.08943656199
"13","baseline_q",NA,287.93947920635
"14","red_25_percent",1,5369.14676495
"15","red_25_percent",2,4008.74725846667
"16","red_25_percent",3,2442.42732791667
"17","red_25_percent",4,2399.8912116
"18","red_25_percent",5,1435.17293196667
"19","red_25_percent",6,734.15795423
"20","red_25_percent",7,751.98476208
"21","red_25_percent",8,1557.16804483
"22","red_25_percent",9,2215.27645060667
"23","red_25_percent",10,2452.79291238
"24","red_25_percent",11,5081.01232405
"25","red_25_percent",12,6357.2355628
"26","red_all_q_10",1,5328.15149924
"27","red_all_q_10",2,4041.98111249733
"28","red_all_q_10",3,2684.99752782667
"29","red_all_q_10",4,3027.78580857467
"30","red_all_q_10",5,2019.90496669467
"31","red_all_q_10",6,971.092858785333
"32","red_all_q_10",7,972.425743114667
"33","red_all_q_10",8,2094.124214816
"34","red_all_q_10",9,2915.38347175867
"35","red_all_q_10",10,3570.35512118667
"36","red_all_q_10",11,6369.91207522667
"37","red_all_q_10",12,6697.72590346667
