"","scene","month","mon_avg"
"1","baseline_q",1,777.971296549481
"2","baseline_q",2,781.361895735266
"3","baseline_q",3,785.479049874607
"4","baseline_q",4,784.75871776611
"5","baseline_q",5,782.53726330193
"6","baseline_q",6,776.907132154432
"7","baseline_q",7,768.960185484888
"8","baseline_q",8,766.828930928211
"9","baseline_q",9,760.894200828469
"10","baseline_q",10,755.634474852194
"11","baseline_q",11,757.035728291963
"12","baseline_q",12,753.503125796098
"13","baseline_q",NA,263.4103716494
"14","red_25_percent",1,1201.33681825
"15","red_25_percent",2,1164.3568411
"16","red_25_percent",3,1102.71976070333
"17","red_25_percent",4,890.359922913333
"18","red_25_percent",5,611.686054513333
"19","red_25_percent",6,405.00269007
"20","red_25_percent",7,396.724471283333
"21","red_25_percent",8,636.405857703333
"22","red_25_percent",9,754.626913076667
"23","red_25_percent",10,839.69044842
"24","red_25_percent",11,1099.77250046667
"25","red_25_percent",12,1189.28673178333
"26","red_all_q_10",1,1148.57067249333
"27","red_all_q_10",2,1156.8184858
"28","red_all_q_10",3,1179.51733057333
"29","red_all_q_10",4,978.663740829333
"30","red_all_q_10",5,732.709049618667
"31","red_all_q_10",6,489.005426548
"32","red_all_q_10",7,477.830779826667
"33","red_all_q_10",8,743.060283830667
"34","red_all_q_10",9,865.902371918667
"35","red_all_q_10",10,966.860965257333
"36","red_all_q_10",11,1136.75653635333
"37","red_all_q_10",12,1114.98745536667
