"","scene","month","mon_avg"
"1","baseline_q",1,828.874743412325
"2","baseline_q",2,858.427630025009
"3","baseline_q",3,838.029475320318
"4","baseline_q",4,835.340989856175
"5","baseline_q",5,844.800530985533
"6","baseline_q",6,856.068989469573
"7","baseline_q",7,837.065137060091
"8","baseline_q",8,865.105077370979
"9","baseline_q",9,920.27397316803
"10","baseline_q",10,920.340454949511
"11","baseline_q",11,909.505735477608
"12","baseline_q",12,916.231292901714
"13","baseline_q",NA,324.061469245
"14","red_25_percent",1,1401.54874411667
"15","red_25_percent",2,1202.75032773333
"16","red_25_percent",3,994.100700016667
"17","red_25_percent",4,1965.47797588667
"18","red_25_percent",5,3364.47471521333
"19","red_25_percent",6,3915.69547582
"20","red_25_percent",7,3097.39421929
"21","red_25_percent",8,2184.2339352
"22","red_25_percent",9,2445.62309495333
"23","red_25_percent",10,2777.01047978333
"24","red_25_percent",11,2294.54071983333
"25","red_25_percent",12,1904.5237249
"26","red_all_q_10",1,1020.99875594
"27","red_all_q_10",2,911.459774686667
"28","red_all_q_10",3,833.218426566667
"29","red_all_q_10",4,1657.99987609067
"30","red_all_q_10",5,2993.45099662933
"31","red_all_q_10",6,3806.289014144
"32","red_all_q_10",7,2786.68852916933
"33","red_all_q_10",8,1811.624185508
"34","red_all_q_10",9,2021.41567697867
"35","red_all_q_10",10,2325.34732189333
"36","red_all_q_10",11,1739.44633537333
"37","red_all_q_10",12,1352.62982902
