"","scene","month","mon_avg"
"1","baseline_q",1,3424.43855587397
"2","baseline_q",2,3417.29995489824
"3","baseline_q",3,3418.32814924699
"4","baseline_q",4,3413.11973162925
"5","baseline_q",5,3406.80683853321
"6","baseline_q",6,3393.99176477508
"7","baseline_q",7,3379.07622072744
"8","baseline_q",8,3373.85257753343
"9","baseline_q",9,3360.9259233102
"10","baseline_q",10,3356.70432387111
"11","baseline_q",11,3362.35202627292
"12","baseline_q",12,3362.35045058967
"13","baseline_q",NA,2275.043614794
"14","red_25_percent",1,4085.50173121667
"15","red_25_percent",2,3990.38048876667
"16","red_25_percent",3,4037.73280304
"17","red_25_percent",4,3652.50434319333
"18","red_25_percent",5,3290.76401079667
"19","red_25_percent",6,2775.90808192333
"20","red_25_percent",7,2751.35799986333
"21","red_25_percent",8,3295.73233958667
"22","red_25_percent",9,3495.07499045667
"23","red_25_percent",10,3631.13215777
"24","red_25_percent",11,3860.9508707
"25","red_25_percent",12,3901.06615928333
"26","red_all_q_10",1,4056.96257780667
"27","red_all_q_10",2,4043.17878470667
"28","red_all_q_10",3,4157.40298755333
"29","red_all_q_10",4,3741.82135507867
"30","red_all_q_10",5,3467.12235416133
"31","red_all_q_10",6,3010.89121537067
"32","red_all_q_10",7,2988.68529778533
"33","red_all_q_10",8,3461.43637751733
"34","red_all_q_10",9,3620.83406204933
"35","red_all_q_10",10,3752.03203276533
"36","red_all_q_10",11,3850.27346652
"37","red_all_q_10",12,3791.88594324
