"","scene","month","mon_avg"
"1","baseline_q",1,226.365829579405
"2","baseline_q",2,234.696236979465
"3","baseline_q",3,242.008566737378
"4","baseline_q",4,232.870625199257
"5","baseline_q",5,220.129817692132
"6","baseline_q",6,211.616584861472
"7","baseline_q",7,206.403719081526
"8","baseline_q",8,203.037163558636
"9","baseline_q",9,206.081336987522
"10","baseline_q",10,207.501170402715
"11","baseline_q",11,206.845397229938
"12","baseline_q",12,209.755881742979
"13","baseline_q",NA,111.718622904075
"14","red_25_percent",1,261.651987516667
"15","red_25_percent",2,238.4391319
"16","red_25_percent",3,253.571146716667
"17","red_25_percent",4,539.974142586667
"18","red_25_percent",5,1188.22674512
"19","red_25_percent",6,1820.28128915333
"20","red_25_percent",7,1126.14103886667
"21","red_25_percent",8,609.32157066
"22","red_25_percent",9,676.460303716667
"23","red_25_percent",10,688.047217516667
"24","red_25_percent",11,396.628736166667
"25","red_25_percent",12,295.164106816667
"26","red_all_q_10",1,203.496204173333
"27","red_all_q_10",2,190.543902246667
"28","red_all_q_10",3,214.277404973333
"29","red_all_q_10",4,386.64247398
"30","red_all_q_10",5,880.576975846667
"31","red_all_q_10",6,1609.93098695733
"32","red_all_q_10",7,893.686954989333
"33","red_all_q_10",8,461.414830197333
"34","red_all_q_10",9,488.287834369333
"35","red_all_q_10",10,459.400787193333
"36","red_all_q_10",11,255.038149393333
"37","red_all_q_10",12,197.903928053333
