"","discharge","total_area","normalized_area"
"1",0,1392.1875,2282.27459016393
"2",4.8,4308.4375,7063.01229508197
"3",10,4990.625,8181.35245901639
"4",20,5188.875,8506.35245901639
"5",25,5164.1875,8465.88114754098
"6",33,5129.25,8408.60655737705
"7",59,4225.875,6927.66393442623
"8",80,3615.5625,5927.15163934426
"9",100,3927.5,6438.52459016393
"10",125,3790.3125,6213.62704918033
"11",200,3064.875,5024.38524590164
"12",250,2287.625,3750.20491803279
"13",400,2286.875,3748.97540983607
"14",500,3181.1875,5215.06147540984
"15",750,3581.375,5871.10655737705
"16",1000,3122.1875,5118.34016393443
"17",2000,3949.6875,6474.89754098361
"18",2500,4162.9375,6824.48770491803
"19",3800,4682.25,7675.81967213115
"20",5000,4141.5,6789.34426229508
"21",10000,3554.625,5827.25409836066
