"","scene","month","mon_avg"
"1","baseline_q",1,4618.0294888
"2","baseline_q",2,3365.40860576
"3","baseline_q",3,2003.0513904
"4","baseline_q",4,2756.3007968
"5","baseline_q",5,3452.9155088
"6","baseline_q",6,1412.0296496
"7","baseline_q",7,1341.8488592
"8","baseline_q",8,2249.205504
"9","baseline_q",9,4393.24886
"10","baseline_q",10,5158.40177818182
"11","baseline_q",11,7252.40112945455
"12","baseline_q",12,6769.72244290909
"13","red_25_percent",1,5156.551756
"14","red_25_percent",2,3835.91808986667
"15","red_25_percent",3,2318.9404144
"16","red_25_percent",4,2287.01427810667
"17","red_25_percent",5,1360.09548952
"18","red_25_percent",6,684.299240973333
"19","red_25_percent",7,702.526627026667
"20","red_25_percent",8,1476.98250496
"21","red_25_percent",9,2113.23213501333
"22","red_25_percent",10,2343.81193908
"23","red_25_percent",11,4897.5192944
"24","red_25_percent",12,6121.6901668
