"","scene","month","mon_avg"
"1","baseline_q",1,2978.4957264
"2","baseline_q",2,2927.7084848
"3","baseline_q",3,3013.3943488
"4","baseline_q",4,1941.5458992
"5","baseline_q",5,1279.5741664
"6","baseline_q",6,662.7900192
"7","baseline_q",7,628.9474728
"8","baseline_q",8,1025.6879424
"9","baseline_q",9,1660.503452
"10","baseline_q",10,1662.74379636364
"11","baseline_q",11,2520.78386472727
"12","baseline_q",12,2823.72314618182
"13","red_25_percent",1,2332.09879326667
"14","red_25_percent",2,2351.6654302
"15","red_25_percent",3,2117.27857385333
"16","red_25_percent",4,1189.29747877333
"17","red_25_percent",5,601.119401053333
"18","red_25_percent",6,268.631565866667
"19","red_25_percent",7,267.027678133333
"20","red_25_percent",8,651.737952613333
"21","red_25_percent",9,906.682280933333
"22","red_25_percent",10,997.756578773333
"23","red_25_percent",11,1641.97715833333
"24","red_25_percent",12,2103.94833586667
"25","red_all_q_10",1,2725.1123284
"26","red_all_q_10",2,2662.90960781333
"27","red_all_q_10",3,2395.33220365867
"28","red_all_q_10",4,1473.34633257067
"29","red_all_q_10",5,817.790568922667
"30","red_all_q_10",6,397.740254352
"31","red_all_q_10",7,393.513776768
"32","red_all_q_10",8,867.687149952
"33","red_all_q_10",9,1160.72947383467
"34","red_all_q_10",10,1268.637658032
"35","red_all_q_10",11,2043.4720016
"36","red_all_q_10",12,2576.46132858667
