"","scene","month","mon_avg"
"1","baseline_q",1,431.5168942
"2","baseline_q",2,377.5587794
"3","baseline_q",3,292.66275
"4","baseline_q",4,680.535492
"5","baseline_q",5,2239.9523134
"6","baseline_q",6,3223.1220306
"7","baseline_q",7,2724.1244152
"8","baseline_q",8,1674.8500298
"9","baseline_q",9,1268.426337
"10","baseline_q",10,1472.94959963636
"11","baseline_q",11,824.262403636364
"12","baseline_q",12,672.941555636364
"13","red_25_percent",1,1168.08651176667
"14","red_25_percent",2,1028.06372688333
"15","red_25_percent",3,905.942452016667
"16","red_25_percent",4,2000.82756793333
"17","red_25_percent",5,3184.52863933333
"18","red_25_percent",6,3242.93746604667
"19","red_25_percent",7,2765.97719764333
"20","red_25_percent",8,2091.97790805
"21","red_25_percent",9,2437.77903775
"22","red_25_percent",10,3069.00045362333
"23","red_25_percent",11,2333.49891445
"24","red_25_percent",12,1683.01637798333
"25","red_all_q_10",1,703.312395353333
"26","red_all_q_10",2,637.084695513333
"27","red_all_q_10",3,623.281696313333
"28","red_all_q_10",4,1713.99899652667
"29","red_all_q_10",5,3062.858077332
"30","red_all_q_10",6,3371.73169555867
"31","red_all_q_10",7,2594.93805620533
"32","red_all_q_10",8,1698.39909610533
"33","red_all_q_10",9,2004.82616376533
"34","red_all_q_10",10,2453.12236900133
"35","red_all_q_10",11,1432.33003196
"36","red_all_q_10",12,979.55135642
