"date","discharge","hydroperiod"
1988-10-01,4.1064,"fall"
1988-10-02,4.07808,"fall"
1988-10-03,4.02144,"fall"
1988-10-04,4.02144,"fall"
1988-10-05,4.1064,"fall"
1988-10-06,4.16304,"fall"
1988-10-07,4.16304,"fall"
1988-10-08,4.16304,"fall"
1988-10-09,4.1064,"fall"
1988-10-10,4.8144,"fall"
1988-10-11,5.2392,"fall"
1988-10-12,4.41792,"fall"
1988-10-13,4.33296,"fall"
1988-10-14,6.06048,"fall"
1988-10-15,5.2392,"fall"
1988-10-16,4.75776,"fall"
1988-10-17,4.64448,"fall"
1988-10-18,4.47456,"fall"
1988-10-19,4.3896,"fall"
1988-10-20,4.33296,"fall"
1988-10-21,4.33296,"fall"
1988-10-22,4.47456,"fall"
1988-10-23,4.41792,"fall"
1988-10-24,4.50288,"fall"
1988-10-25,4.36128,"fall"
1988-10-26,4.3896,"fall"
1988-10-27,4.1064,"fall"
1988-10-28,4.16304,"fall"
1988-10-29,4.16304,"fall"
1988-10-30,4.30464,"fall"
1988-10-31,4.36128,"fall"
1988-11-01,4.16304,"fall"
1988-11-02,4.02144,"fall"
1988-11-03,3.87984,"fall"
1988-11-04,4.07808,"fall"
1988-11-05,4.27632,"fall"
1988-11-06,4.248,"fall"
1988-11-07,4.21968,"fall"
1988-11-08,4.47456,"fall"
1988-11-09,4.64448,"fall"
1988-11-10,4.3896,"fall"
1988-11-11,4.36128,"fall"
1988-11-12,4.3896,"fall"
1988-11-13,4.70112,"fall"
1988-11-14,4.956,"fall"
1988-11-15,4.87104,"fall"
1988-11-16,5.0976,"fall"
1988-11-17,5.06928,"fall"
1988-11-18,5.26752,"fall"
1988-11-19,5.49408,"fall"
1988-11-20,5.55072,"fall"
1988-11-21,5.55072,"fall"
1988-11-22,5.49408,"fall"
1988-11-23,5.57904,"fall"
1988-11-24,5.63568,"fall"
1988-11-25,5.83392,"fall"
1988-11-26,6.20208,"fall"
1988-11-27,6.28704,"fall"
1988-11-28,5.91888,"fall"
1988-11-29,5.60736,"fall"
1988-11-30,5.63568,"fall"
1988-12-01,5.57904,"winter"
1988-12-02,5.63568,"winter"
1988-12-03,5.664,"winter"
