,depthmin,depthmax,velocitymin,velocitymax
adult_longfindace,0.08,0.55,0,0.3
adult_yellowbullhead,0.1,1.7,0,0.3
adult_desertsucker,0.36,0.87,0.1925,0.6285
juvenile_desertsucker,0.2425,0.54,0.006,0.421
adult_sonorasucker,0.13,0.6,0.03,0.5
juvenile_sonorasucker,0.3277,0.49,0.05,0.2638
adult_redshiner,0.29,0.4325,0.13,0.5078
adult_roundtailchub,0.14,0.65,0,0.3
adult_greensunfish,0.18,1.7,0,0.2
adult_fatheadminnow,0.16,0.65,0,0.2
adult_speckleddace,0.09,0.3,0.02,0.5
adult_smallmouthbass,0.315,0.535,0.045,0.2788
