"date","hydroperiod","discharge"
2008-01-02,"winter",2.71872
2008-01-03,"winter",2.71872
2008-01-04,"winter",2.74704
2008-01-05,"winter",2.78952
2008-01-06,"winter",15.576
2008-01-07,"winter",86.2344
2008-01-08,"winter",35.8248
2008-01-09,"winter",14.7264
2008-01-10,"winter",11.8236
2008-01-11,"winter",9.71376
2008-01-12,"winter",8.4252
2008-01-13,"winter",7.33488
2008-01-14,"winter",6.5136
2008-01-15,"winter",5.72064
2008-01-16,"winter",5.01264
2008-01-17,"winter",4.44624
2008-01-18,"winter",4.0356
2008-01-19,"winter",3.7524
2008-01-20,"winter",3.6108
2008-01-21,"winter",3.4692
2008-01-22,"winter",3.31344
2008-01-23,"winter",3.24264
2008-01-24,"winter",3.20016
2008-01-25,"winter",3.17184
2008-01-26,"winter",3.14352
2008-01-27,"winter",7.41984
2008-01-28,"winter",164.256
2008-01-29,"winter",81.2784
2008-01-30,"winter",34.692
2008-01-31,"winter",20.2488
2008-02-01,"winter",12.89976
2008-02-02,"winter",10.37928
2008-02-03,"winter",9.11904
2008-02-04,"winter",9.17568
2008-02-05,"winter",10.22352
2008-02-06,"winter",7.1508
2008-02-07,"winter",6.018
2008-02-08,"winter",5.97552
2008-02-09,"winter",7.30656
2008-02-10,"winter",9.88368
2008-02-11,"winter",12.97056
2008-02-12,"winter",14.4432
2008-02-13,"winter",17.2752
2008-02-14,"winter",21.948
2008-02-15,"winter",21.5232
2008-02-16,"winter",15.576
2008-02-17,"winter",14.3016
2008-02-18,"winter",16.5672
2008-02-19,"winter",17.9832
2008-02-20,"winter",20.1072
2008-02-21,"winter",22.9392
2008-02-22,"winter",23.0808
2008-02-23,"winter",20.532
2008-02-24,"winter",24.4968
2008-02-25,"winter",16.992
2008-02-26,"winter",19.5408
2008-02-27,"winter",24.2136
2008-02-28,"winter",28.6032
2008-02-29,"winter",37.2408
2008-03-01,"winter",45.7368
2008-03-02,"winter",55.932
2008-03-03,"winter",42.9048
2008-03-04,"winter",25.9128
2008-03-05,"winter",20.6736
2008-03-06,"winter",20.2488
2008-03-07,"winter",17.2752
2008-03-08,"winter",14.868
2008-03-09,"winter",17.8416
2008-03-10,"winter",21.8064
2008-03-11,"winter",24.2136
2008-03-12,"winter",27.612
2008-03-13,"winter",31.5768
2008-03-14,"winter",33.4176
2008-03-15,"winter",31.5768
2008-03-16,"winter",23.5056
2008-03-17,"winter",15.7176
2008-03-18,"winter",10.43592
2008-03-19,"spring",8.3544
2008-03-20,"spring",7.81632
2008-03-21,"spring",9.74208
2008-03-22,"spring",12.75816
2008-03-23,"spring",12.85728
2008-03-24,"spring",11.38464
2008-03-25,"spring",9.88368
2008-03-26,"spring",9.68544
2008-03-27,"spring",9.1332
2008-03-28,"spring",8.38272
2008-03-29,"spring",7.26408
2008-03-30,"spring",6.32952
2008-03-31,"spring",5.57904
2008-04-01,"spring",4.7436
2008-04-02,"spring",4.07808
2008-04-03,"spring",3.66744
2008-04-04,"spring",3.05856
2008-04-05,"spring",2.91696
2008-04-06,"spring",2.77536
2008-04-07,"spring",2.50632
2008-04-08,"spring",2.39304
2008-04-09,"spring",2.30808
2008-04-10,"spring",2.35056
2008-04-11,"spring",2.23728
2008-04-12,"spring",1.99656
2008-04-13,"spring",1.9116
2008-04-14,"spring",1.85496
2008-04-15,"spring",1.85496
2008-04-16,"spring",1.81248
2008-04-17,"spring",1.85496
2008-04-18,"spring",1.79832
2008-04-19,"spring",1.81248
2008-04-20,"spring",1.6992
2008-04-21,"spring",1.64256
2008-04-22,"spring",1.58592
2008-04-23,"spring",1.52928
2008-04-24,"spring",1.45848
2008-04-25,"spring",1.389096
2008-04-26,"spring",1.416
2008-04-27,"spring",1.416
2008-04-28,"spring",1.54344
2008-04-29,"spring",1.45848
2008-04-30,"spring",1.367856
2008-05-01,"spring",1.321128
2008-05-02,"spring",1.367856
2008-05-03,"spring",1.414584
2008-05-04,"spring",1.47264
2008-05-05,"spring",1.44432
2008-05-06,"spring",1.360776
2008-05-07,"spring",1.376352
2008-05-08,"spring",1.318296
2008-05-09,"spring",1.343784
2008-05-10,"spring",1.3806
2008-05-11,"spring",1.32396
2008-05-12,"spring",1.22484
2008-05-13,"spring",1.28148
2008-05-14,"spring",1.58592
2008-05-15,"spring",1.6992
2008-05-16,"spring",1.67088
2008-05-17,"spring",1.4868
2008-05-18,"spring",1.305552
2008-05-19,"spring",1.148376
2008-05-20,"spring",1.016688
2008-05-21,"spring",0.921816
2008-05-22,"spring",0.950136
2008-05-23,"spring",1.155456
2008-05-24,"spring",1.57176
2008-05-25,"spring",1.78416
2008-05-26,"spring",1.85496
2008-05-27,"spring",1.68504
2008-05-28,"spring",1.45848
2008-05-29,"spring",1.32396
2008-05-30,"spring",1.1328
2008-05-31,"spring",1.084656
2008-06-01,"summer",0.995448
2008-06-02,"summer",1.002528
2008-06-03,"summer",0.944472
2008-06-04,"summer",0.961464
2008-06-05,"summer",0.985536
2008-06-06,"summer",0.882168
2008-06-07,"summer",0.886416
2008-06-08,"summer",0.986952
2008-06-09,"summer",0.961464
2008-06-10,"summer",0.872256
2008-06-11,"summer",0.852432
2008-06-12,"summer",0.811368
2008-06-13,"summer",0.763224
2008-06-14,"summer",0.87792
2008-06-15,"summer",0.911904
2008-06-16,"summer",0.924648
2008-06-17,"summer",0.798624
2008-06-18,"summer",0.8496
2008-06-19,"summer",0.851016
2008-06-20,"summer",0.7788
2008-06-21,"summer",0.726408
2008-06-22,"summer",0.732072
2008-06-23,"summer",0.734904
2008-06-24,"summer",0.699504
2008-06-25,"summer",0.621624
2008-06-26,"summer",0.624456
2008-06-27,"summer",0.62304
2008-06-28,"summer",0.657024
2008-06-29,"summer",0.72216
2008-06-30,"summer",0.75048
2008-07-01,"summer",0.661272
2008-07-02,"summer",0.767472
2008-07-03,"summer",0.749064
2008-07-04,"summer",0.647112
2008-07-05,"summer",0.774552
2008-07-06,"summer",0.872256
2008-07-07,"summer",1.039344
2008-07-08,"summer",1.11864
2008-07-09,"summer",1.032264
2008-07-10,"summer",1.087488
2008-07-11,"summer",1.15404
2008-07-12,"summer",1.33812
2008-07-13,"summer",1.44432
2008-07-14,"summer",2.13816
2008-07-15,"summer",2.71872
2008-07-16,"summer",2.18064
2008-07-17,"summer",1.9116
2008-07-18,"summer",1.71336
2008-07-19,"summer",1.367856
2008-07-20,"summer",2.02488
2008-07-21,"summer",1.88328
2008-07-22,"summer",1.92576
2008-07-23,"summer",1.75584
2008-07-24,"summer",1.410336
2008-07-25,"summer",1.82664
2008-07-26,"summer",1.304136
2008-07-27,"summer",1.340952
2008-07-28,"summer",1.248912
2008-07-29,"summer",1.15404
2008-07-30,"summer",1.042176
2008-07-31,"summer",0.926064
2008-08-01,"summer",0.851016
2008-08-02,"summer",0.75756
2008-08-03,"summer",0.645696
2008-08-04,"summer",1.163952
2008-08-05,"summer",1.64256
2008-08-06,"summer",1.45848
2008-08-07,"summer",1.399008
2008-08-08,"summer",1.47264
2008-08-09,"summer",1.52928
2008-08-10,"summer",1.4868
2008-08-11,"summer",1.68504
2008-08-12,"summer",1.51512
2008-08-13,"summer",1.350864
2008-08-14,"summer",1.328208
2008-08-15,"summer",1.36644
2008-08-16,"summer",2.20896
2008-08-17,"summer",2.80368
2008-08-18,"summer",3.31344
2008-08-19,"summer",3.54
2008-08-20,"summer",2.39304
2008-08-21,"summer",1.96824
2008-08-22,"summer",1.77
2008-08-23,"summer",1.60008
2008-08-24,"summer",1.52928
2008-08-25,"summer",1.65672
2008-08-26,"summer",3.69576
2008-08-27,"summer",2.30808
2008-08-28,"summer",1.92576
2008-08-29,"summer",1.71336
2008-08-30,"summer",1.72752
2008-08-31,"summer",1.72752
2008-09-01,"fall",3.00192
2008-09-02,"fall",3.12936
2008-09-03,"fall",2.25144
2008-09-04,"fall",1.9824
2008-09-05,"fall",1.71336
2008-09-06,"fall",1.58592
2008-09-07,"fall",1.383432
2008-09-08,"fall",1.28148
2008-09-09,"fall",1.321128
2008-09-10,"fall",1.372104
2008-09-11,"fall",2.06736
2008-09-12,"fall",2.60544
2008-09-13,"fall",1.95408
2008-09-14,"fall",1.6992
2008-09-15,"fall",1.50096
2008-09-16,"fall",1.416
2008-09-17,"fall",1.389096
2008-09-18,"fall",1.314048
2008-09-19,"fall",1.227672
2008-09-20,"fall",1.233336
2008-09-21,"fall",1.205016
2008-09-22,"fall",1.171032
2008-09-23,"fall",1.100232
2008-09-24,"fall",1.063416
2008-09-25,"fall",1.088904
2008-09-26,"fall",1.095984
2008-09-27,"fall",1.271568
2008-09-28,"fall",1.393344
2008-09-29,"fall",1.36644
2008-09-30,"fall",1.200768
2008-10-01,"fall",1.043592
2008-10-02,"fall",1.035096
2008-10-03,"fall",1.009608
2008-10-04,"fall",1.035096
2008-10-05,"fall",1.156872
2008-10-06,"fall",1.292808
2008-10-07,"fall",1.328208
2008-10-08,"fall",1.367856
2008-10-09,"fall",1.353696
2008-10-10,"fall",1.322544
2008-10-11,"fall",1.298472
2008-10-12,"fall",1.32396
2008-10-13,"fall",1.403256
2008-10-14,"fall",1.44432
2008-10-15,"fall",1.52928
2008-10-16,"fall",1.52928
2008-10-17,"fall",1.5576
2008-10-18,"fall",1.52928
2008-10-19,"fall",1.45848
2008-10-20,"fall",1.372104
2008-10-21,"fall",1.287144
2008-10-22,"fall",1.348032
2008-10-23,"fall",1.40184
2008-10-24,"fall",1.47264
2008-10-25,"fall",1.54344
2008-10-26,"fall",1.61424
2008-10-27,"fall",1.6284
2008-10-28,"fall",1.58592
2008-10-29,"fall",1.5576
2008-10-30,"fall",1.67088
2008-10-31,"fall",1.6992
2008-11-01,"fall",1.71336
2008-11-02,"fall",1.71336
2008-11-03,"fall",1.74168
2008-11-04,"fall",1.75584
2008-11-05,"fall",1.79832
2008-11-06,"fall",1.81248
2008-11-07,"fall",1.81248
2008-11-08,"fall",1.86912
2008-11-09,"fall",1.93992
