,depthmin,depthmax,velocitymin,velocitymax
adult_Roundtail_Chub,0.41,999,0,0.215
juvenile_Roundtail_Chub,0.3277,0.53,0.056,0.318
adult_Desert_Sucker,0.238333333,999,0.0905,0.498333333
juvenile_Desert_Sucker,0.2425,0.54,0.006,0.421
adult_Sonora_Sucker,0.228,999,0.0285,0.448333333
juvenile_Sonora_Sucker,0.3277,0.49,0.05,0.2638
adult_Speckled_Dace,0.1832,0.409,0.0844,0.444
adult_Longfin_Dace,0.096833333,0.405,0.07,0.402
adult_Spikedace,0.087,0.435666667,0.22,0.72
adult_Razorback_Sucker,0.76,2.25,0.01,0.41
adult_Smallmouth-Redeye_Bass,0.315,0.535,0.045,0.2788
adult_Common_Carp,0.225,999,0,0.07
adult_Red_Shiner,0.29,0.4325,0.13,0.5078
juvenile_Black_Bass,0.305,0.5278,0.035,0.27875
adult_Green_Sunfish,0.19125,0.6775,0,0.155
adult_Yellow_Bullhead,0.11,0.535,0,0.235
