Braidhi25r.CDG, , 
n, x, y, depth, velocity, channel index, DSI, VSI, CiSI, CbSI, WUA
1,516825.6163,3729571.9260,-0.7038,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,516818.2307,3729571.8573,-0.8111,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,516821.8288,3729571.8908,-0.7584,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,516840.9912,3729572.0694,-0.4548,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,516833.2030,3729571.9968,-0.5837,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,516829.3885,3729571.9612,-0.6525,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,516825.5170,3729574.4292,-0.6955,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,516811.6004,3729571.7953,-0.9238,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,516814.8522,3729571.8257,-0.8799,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,516818.0222,3729574.3022,-0.8042,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,516821.5080,3729576.0491,-0.7448,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,516836.9491,3729572.0317,-0.5080,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,516845.4555,3729572.1112,-0.7116,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,516840.5991,3729574.2659,-0.4706,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,516845.4204,3729576.3210,-0.7476,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,516833.1300,3729574.3663,-0.5934,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,516829.2925,3729576.0596,-0.6364,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,516825.2022,3729578.1083,-0.6829,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,516805.2363,3729571.7359,-1.0355,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,516808.3885,3729571.7654,-0.8895,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,516811.5861,3729573.8471,-0.9174,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,516814.4739,3729575.5413,-0.9721,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,516817.3170,3729577.9086,-0.7980,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,516820.7437,3729580.0723,-0.7360,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,516836.6996,3729575.7571,-0.5413,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,516842.9159,3729576.6077,-0.5988,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,516839.6651,3729577.1848,-0.4990,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,516845.3878,3729580.2428,-0.7795,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,516833.0833,3729577.9336,-0.5775,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,516829.1393,3729580.0362,-0.6192,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,516820.1056,3729584.2592,-0.7220,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,516824.7898,3729582.1701,-0.6679,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,516802.0563,3729571.7064,-1.0076,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,516805.3030,3729574.0723,-1.0683,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,516808.3985,3729575.4701,-0.8578,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,516811.3461,3729576.6520,-0.8905,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,516813.1839,3729579.2670,-1.0103,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,516816.0596,3729581.8962,-0.9518,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,516815.1853,3729586.2541,-1.0836,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,516836.8429,3729579.5203,-0.5224,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,516840.8272,3729580.0567,-0.4948,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
42,516845.3226,3729588.0663,-0.7819,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
43,516842.0914,3729583.0269,-0.5397,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
44,516845.3470,3729585.1436,-0.8130,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
45,516833.2275,3729581.9847,-0.5560,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
46,516828.9689,3729584.3011,-0.5985,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
47,516814.9463,3729591.3392,-1.0757,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
48,516819.7026,3729588.9173,-0.7804,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
49,516824.3891,3729586.6215,-0.6478,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
50,516788.2834,3729571.5780,-0.9021,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
51,516799.4923,3729574.0530,-1.0196,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
52,516797.7675,3729571.6663,-1.0467,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
53,516786.2250,3729571.5587,-0.6841,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
