BraidHi3800r2.CDG, , 
n, x, y, depth, velocity, channel index, DSI, VSI, CiSI, CbSI, WUA
1,516818.2214,3729571.8571,0.0515,0.2192,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,516811.4659,3729571.7940,0.1294,0.3679,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,516814.7747,3729571.8250,0.0849,0.6072,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,516818.0172,3729574.1944,0.0664,0.4056,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,516821.9204,3729571.8916,0.0377,0.2448,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,516825.7790,3729571.9276,0.0229,0.1304,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,516841.0912,3729572.0704,0.1934,0.2028,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,516808.2796,3729571.7643,0.1380,0.2564,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,516811.4299,3729573.7950,0.1358,0.4225,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,516814.5015,3729575.4333,0.0286,0.2655,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,516833.3347,3729571.9980,0.0787,0.1133,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,516817.3748,3729577.6973,0.0374,0.2543,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,516829.5350,3729571.9627,0.0328,0.0978,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,516821.6275,3729575.8948,0.0732,0.3065,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,516825.7186,3729574.3267,0.0345,0.2142,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,516837.0736,3729572.0330,0.1524,0.2571,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,516845.4555,3729572.1111,-0.0508,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,516840.7348,3729574.1641,0.1852,0.1947,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,516805.1340,3729571.7350,0.0690,0.4210,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,516805.2030,3729573.9822,0.0385,0.5711,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,516808.3613,3729575.3586,0.1899,0.2492,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,516811.2780,3729576.5371,0.1545,0.2616,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,516813.1979,3729579.0949,0.0206,0.2421,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,516833.2476,3729574.2869,0.0747,0.1840,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,516816.1416,3729581.7221,0.0521,0.1782,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,516820.9418,3729579.8355,0.0465,0.3593,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,516829.3547,3729575.9207,0.0536,0.1856,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,516825.4068,3729577.9087,0.0608,0.2904,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,516845.4213,3729576.2112,-0.0867,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,516836.8380,3729575.6234,0.1234,0.2929,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,516843.0604,3729576.4809,0.0520,0.0021,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,516839.8365,3729577.0209,0.1635,0.2630,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,516801.9258,3729571.7051,0.1539,0.5528,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,516802.2505,3729575.3967,0.1180,0.5558,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,516805.3391,3729577.4570,0.0959,0.4792,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,516808.9845,3729579.0436,0.2315,0.1327,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,516809.7203,3729598.9043,0.3304,0.0063,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,516806.8624,3729599.2800,0.0442,0.0271,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,516802.1947,3729601.7008,0.1774,0.0170,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,516810.6247,3729583.2343,0.2292,0.0938,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,516810.1812,3729588.4118,0.2717,0.0090,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
42,516805.4639,3729601.7784,-0.0433,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
43,516808.4085,3729601.8325,0.2901,0.0091,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
44,516800.6461,3729604.2545,0.0687,0.0049,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
45,516803.7972,3729604.3375,0.0821,0.0074,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
46,516810.0766,3729593.9258,0.2800,0.0090,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
47,516812.9824,3729598.9519,0.0464,0.0039,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
48,516811.5145,3729601.8617,0.2871,0.0098,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
49,516815.2669,3729586.1292,-0.0600,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
50,516815.0081,3729591.1401,-0.0847,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
51,516833.1775,3729577.7461,0.1009,0.1986,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
52,516820.2144,3729584.0634,0.0428,0.0577,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
53,516824.9616,3729581.9354,0.0516,0.2407,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
54,516829.1590,3729579.8191,0.0658,0.2128,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
55,516845.3889,3729580.0968,-0.1155,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
56,516836.9994,3729579.3184,0.1450,0.2747,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
57,516841.0552,3729579.8924,0.1724,0.0596,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
58,516782.7240,3729612.9639,0.3530,0.2657,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
59,516790.7647,3729609.8883,0.5233,0.0635,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,516792.3307,3729607.1584,0.4223,0.0394,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
61,516787.6094,3729609.9888,0.6111,0.1368,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
62,516784.4517,3729610.0694,0.4163,0.1691,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
63,516799.3349,3729573.9415,0.1695,0.4364,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
64,516797.5843,3729571.6647,0.1569,0.6893,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
65,516799.3592,3729576.5354,0.1350,0.5923,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
66,516797.2069,3729604.2770,-0.1648,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
67,516798.9293,3729601.5950,-0.1147,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
68,516801.8562,3729579.1043,0.0260,0.1493,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
69,516805.4074,3729581.5232,0.2473,0.1360,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
70,516805.5850,3729596.1729,0.2747,0.0170,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
71,516803.6229,3729598.8324,0.1715,0.0165,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
72,516800.5212,3729598.8801,0.1475,0.0062,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
73,516805.2275,3729591.0058,0.3279,0.0212,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
74,516805.3864,3729585.9560,0.2880,0.0138,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
75,516806.9663,3729604.4083,-0.1815,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
76,516810.0477,3729604.5028,0.2270,0.0166,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
77,516795.4518,3729607.0835,-0.2135,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
78,516798.9357,3729606.9518,-0.1275,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
79,516802.2853,3729606.8952,0.1840,0.0116,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
80,516805.4665,3729606.9800,-0.0295,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
81,516793.8743,3729609.8533,0.1502,0.0061,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
82,516780.9232,3729615.9510,0.2839,0.2187,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
83,516786.0616,3729612.7921,0.4228,0.2366,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
84,516789.1432,3729612.7563,0.5150,0.0857,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
85,516784.2425,3729615.7044,0.2930,0.2686,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
