Braidxpshel4.8r.cdg, , 
n, x, y, depth, velocity, channel index, DSI, VSI, CiSI, CbSI, WUA
1,516756.4267,3729579.3915,0.2261,0.0925,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,516756.5204,3729578.8736,0.2259,0.0912,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,516756.6036,3729578.3712,0.2256,0.0901,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,516756.6318,3729577.8931,0.2264,0.0900,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,516756.6134,3729577.4388,0.2292,0.0895,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,516756.2853,3729578.0291,0.2345,0.0935,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,516756.2303,3729578.5066,0.2337,0.0947,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,516756.1521,3729579.0050,0.2339,0.0957,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,516756.3334,3729579.9244,0.2264,0.0940,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,516756.0627,3729579.5209,0.2342,0.0973,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,516756.6063,3729580.3361,0.2195,0.0907,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,516756.7008,3729579.7901,0.2183,0.0895,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,516756.8035,3729579.2649,0.2180,0.0883,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,516756.8959,3729577.2620,0.2231,0.0867,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,516757.1485,3729577.0252,0.2180,0.0846,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,516756.9077,3729578.7455,0.2178,0.0870,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,516756.9490,3729577.6943,0.2203,0.0866,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,516757.0225,3729578.2137,0.2175,0.0861,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,516759.7892,3729647.3471,0.0255,0.0882,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,516759.7861,3729647.5852,0.0292,0.0674,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,516758.2957,3729575.3083,0.1902,0.0625,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,516758.0770,3729575.6035,0.2034,0.0675,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,516757.7825,3729575.8002,0.2084,0.0745,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,516756.8611,3729576.9133,0.2250,0.0868,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,516757.0302,3729576.6633,0.2229,0.0848,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,516756.6163,3729577.0257,0.2300,0.0893,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,516757.2282,3729576.3767,0.2187,0.0824,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,516757.4464,3729576.0425,0.2156,0.0807,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,516755.9427,3729578.1501,0.2416,0.0976,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,516756.3070,3729577.5732,0.2353,0.0932,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,516756.3351,3729577.1419,0.2361,0.0924,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,516755.9889,3729577.6910,0.2413,0.0968,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,516755.8765,3729578.6282,0.2408,0.0990,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,516755.6071,3729578.2592,0.2486,0.1016,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,516755.7952,3729579.1257,0.2420,0.1001,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,516756.2422,3729580.4720,0.2276,0.0957,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,516755.9717,3729580.0522,0.2354,0.0987,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,516755.7049,3729579.6392,0.2423,0.1019,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,516756.5168,3729580.8993,0.2198,0.0924,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,516756.8808,3729580.7551,0.2117,0.0871,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,516756.9768,3729580.2013,0.2115,0.0863,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
42,516757.0832,3729579.6694,0.2102,0.0849,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
43,516757.1958,3729579.1574,0.2099,0.0832,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
44,516757.2336,3729577.4269,0.2152,0.0840,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
45,516757.3733,3729576.7479,0.2149,0.0812,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
46,516757.4963,3729577.1402,0.2100,0.0798,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
47,516757.3211,3729578.6752,0.2087,0.0824,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
48,516757.3327,3729577.8506,0.2113,0.0825,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
49,516757.5064,3729578.2644,0.2066,0.0790,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
50,516757.5972,3729576.4635,0.2107,0.0794,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
51,516757.8476,3729576.2013,0.2056,0.0728,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
52,516758.1233,3729575.9629,0.1975,0.0663,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
