BraidHi5000r.CDG, , 
n, x, y, depth, velocity, channel index, DSI, VSI, CiSI, CbSI, WUA
1,516818.2215,3729571.8571,0.1119,0.0954,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,516811.4660,3729571.7939,-0.0953,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,516814.7749,3729571.8250,-0.0890,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,516818.0172,3729574.1946,0.1229,0.1537,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,516821.9203,3729571.8915,-0.2367,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,516825.7790,3729571.9276,-0.2919,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,516841.0912,3729572.0703,-0.0908,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,516808.2795,3729571.7643,-0.0500,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,516811.4299,3729573.7951,0.3717,0.0145,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,516814.5013,3729575.4333,0.1611,0.2085,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,516833.3347,3729571.9983,0.2598,0.2885,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,516817.3749,3729577.6971,0.0453,0.0846,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,516829.5349,3729571.9626,-0.2331,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,516821.6276,3729575.8948,0.0569,0.1351,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,516825.7186,3729574.3267,0.2826,0.0249,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,516837.0736,3729572.0331,0.0867,0.1176,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,516845.4555,3729572.1113,-0.3316,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,516840.7347,3729574.1641,-0.0842,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,516805.1342,3729571.7350,0.3826,0.5228,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,516805.2030,3729573.9823,0.3509,0.4815,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,516808.3614,3729575.3587,0.4354,0.1124,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,516811.2780,3729576.5371,0.3317,0.1088,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,516813.1980,3729579.0950,0.1556,0.0432,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,516833.2477,3729574.2870,0.2567,0.2512,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,516816.1416,3729581.7221,-0.1026,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,516820.9419,3729579.8354,-0.1010,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,516829.3546,3729575.9208,0.3841,0.0490,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,516825.4067,3729577.9087,0.2114,0.1036,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,516845.4212,3729576.2113,-0.3721,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,516836.8381,3729575.6233,0.0750,0.0749,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,516843.0603,3729576.4810,-0.2355,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,516839.8367,3729577.0210,-0.0574,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,516801.9258,3729571.7051,0.2086,0.3736,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,516802.2504,3729575.3969,0.1854,0.9680,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,516805.3392,3729577.4572,0.2784,0.1645,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,516808.9846,3729579.0437,0.3869,0.0037,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,516809.7203,3729598.9042,0.1915,0.2226,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
