BraidLo6.0r.CDG, , 
n, x, y, depth, velocity, channel index, DSI, VSI, CiSI, CbSI, WUA
1,516754.5561,3729613.4977,-0.0707,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,516754.5392,3729613.2798,0.0370,0.0909,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,516754.3720,3729613.3904,0.0365,0.0693,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,516754.2015,3729613.3176,0.1474,0.2831,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,516754.5639,3729613.7051,-0.1631,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,516754.3840,3729613.6023,-0.0391,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,516754.7351,3729613.6074,-0.1882,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,516754.7311,3729613.7955,-0.5169,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,516754.7312,3729613.3968,-0.0847,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,516754.9072,3729613.5078,-0.2231,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,516754.7338,3729613.1853,0.0180,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,516750.4732,3729561.8474,-0.0184,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,516754.5644,3729613.8955,-0.1138,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,516754.5347,3729613.0612,0.1460,0.2499,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,516754.5751,3729612.8717,0.1370,0.4612,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,516754.3188,3729613.1437,0.1696,0.3432,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,516754.0767,3729613.1748,0.2415,0.2875,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,516754.0186,3729613.3768,0.2591,0.2246,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,516754.2016,3729613.5028,0.1128,0.1398,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,516754.3877,3729613.8059,-0.0796,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,516754.2041,3729613.7079,0.0682,0.0477,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,516749.9805,3729562.3027,-0.1218,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,516749.8533,3729561.8527,-0.1095,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,516754.5679,3729614.0782,0.0819,0.0237,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,516754.7483,3729612.9753,0.0473,0.1552,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,516754.7440,3729612.7449,0.0242,0.4217,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,516754.5291,3729612.6664,0.1466,0.6681,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,516754.7231,3729613.9898,-0.4798,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,516754.8955,3729613.6969,-0.5403,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,516754.8883,3729613.8899,-0.5060,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,516755.0720,3729613.6004,-0.2346,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,516754.9194,3729613.2942,-0.1371,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,516755.0918,3729613.4025,-0.2689,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,516754.9336,3729613.0825,-0.1271,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,516751.1816,3729561.8414,0.0747,0.0249,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,516751.6980,3729561.8370,0.1520,0.0765,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,516752.2366,3729561.8326,0.2042,0.0902,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,516750.8303,3729562.4084,-0.0209,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,516750.3394,3729562.8660,-0.1108,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,516754.5440,3729614.2622,0.2339,0.0245,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,516754.3876,3729613.9960,0.0555,0.0481,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
42,516754.4050,3729614.1619,0.2270,0.0280,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
43,516754.3545,3729612.8703,0.1951,0.3838,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
44,516754.3121,3729612.6238,-0.0622,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
45,516754.1342,3729612.9644,0.1568,0.2950,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
46,516753.9463,3729613.0261,0.0916,0.2657,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
47,516753.8307,3729613.2020,0.2645,0.1496,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
48,516753.6253,3729613.3161,0.2883,0.2299,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
49,516753.8254,3729613.4578,0.2808,0.1933,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
50,516754.0153,3729613.5931,0.2284,0.1861,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
51,516754.2032,3729613.9205,0.0355,0.1293,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
52,516754.0235,3729613.8147,0.1778,0.1943,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
53,516749.4686,3729562.8640,-0.2229,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
54,516749.0478,3729561.8596,-0.2169,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
55,516748.5166,3729562.6861,-0.3360,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
56,516754.7158,3729614.1774,-0.0346,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
57,516754.7022,3729614.3674,0.2077,0.0107,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
58,516753.9802,3729614.7838,0.2068,0.0890,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
59,516754.5104,3729614.4538,0.2089,0.0389,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,516754.9393,3729612.8657,-0.0421,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
61,516754.9272,3729612.6471,0.0698,0.1880,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
62,516754.4676,3729612.4258,0.0799,0.5040,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
63,516754.7438,3729612.4455,0.1029,0.5367,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
64,516754.8826,3729614.0846,-0.4009,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
65,516755.0642,3729613.7976,-0.2479,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
66,516755.0584,3729613.9858,-0.2835,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
67,516755.2458,3729613.5082,-0.3073,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
68,516755.2361,3729613.6971,-0.3879,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
69,516755.4237,3729613.4195,-0.3625,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
70,516755.2731,3729613.3030,-0.2243,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
71,516755.1202,3729613.1845,-0.1918,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
72,516755.1389,3729612.9613,-0.0554,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
73,516755.4426,3729613.2440,-0.1310,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
74,516751.6878,3729562.4390,0.0901,0.0339,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
75,516753.0374,3729561.8257,0.2231,0.0891,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
76,516752.5601,3729562.4734,0.1739,0.0862,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
77,516751.1429,3729563.1353,-0.0133,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
78,516750.2319,3729563.5894,-0.1475,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
79,516750.0744,3729564.5391,-0.1851,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
80,516753.9119,3729561.8185,0.2444,0.0865,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
81,516754.3184,3729614.3199,0.2417,0.0160,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
82,516754.2952,3729614.5219,0.2111,0.0608,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
83,516754.1313,3729614.6375,0.2072,0.0619,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
84,516754.2112,3729614.1395,0.2699,0.0531,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
85,516753.9618,3729614.5823,0.2516,0.1286,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
86,516753.8113,3729614.6875,0.1829,0.3087,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
87,516753.7997,3729614.9061,0.2178,0.2780,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
88,516753.6433,3729614.7893,0.1520,0.3898,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
89,516754.3204,3729612.2371,0.0661,0.1587,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
90,516754.2572,3729612.4161,-0.2183,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
91,516754.1231,3729612.7297,0.0642,0.0569,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
92,516754.0954,3729612.4942,-0.2062,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
93,516753.9296,3729612.8105,-0.0943,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
94,516753.7614,3729612.9314,-0.0687,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
95,516753.6015,3729613.0796,0.1384,0.3680,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
96,516753.4286,3729613.1994,0.1281,0.3248,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
97,516753.4372,3729613.4231,0.3085,0.1767,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
98,516753.6333,3729613.5682,0.3034,0.2185,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
99,516753.8300,3729613.6950,0.2974,0.1912,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,516754.0137,3729614.0494,0.2392,0.1643,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
101,516753.8560,3729613.9045,0.2825,0.2031,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
102,516748.8873,3729563.7530,-0.3394,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
103,516749.8180,3729565.6446,-0.2401,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
104,516748.7135,3729564.9383,-0.3844,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
105,516747.5832,3729561.8721,-0.4095,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
106,516747.5997,3729563.1444,-0.4832,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
107,516746.4168,3729561.8819,-0.5631,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
108,516754.8752,3729614.2750,0.0844,0.0210,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
109,516754.8658,3729614.4748,-0.0492,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
110,516753.7780,3729615.1235,0.2357,0.3450,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,516754.6894,3729614.5694,0.1245,0.0065,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
112,516753.9768,3729615.0032,-0.1239,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
113,516754.1583,3729614.8734,-0.0155,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
114,516754.3269,3729614.7548,0.2014,0.0661,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
115,516754.5084,3729614.6575,0.2122,0.0784,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
116,516753.7874,3729615.3363,0.2261,0.3912,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
117,516755.1440,3729612.7156,0.0937,0.0451,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
118,516755.0721,3729612.4426,0.1276,0.0605,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
119,516754.5480,3729612.0978,0.1185,0.1856,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
120,516754.9053,3729612.1393,0.1521,0.2751,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
121,516755.0492,3729614.1812,-0.1360,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
122,516755.2253,3729613.8926,-0.2978,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
123,516755.2237,3729614.0849,-0.2045,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
124,516755.4083,3729613.6031,-0.5767,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
125,516755.4016,3729613.7946,-0.4397,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
126,516755.5945,3729613.3237,-0.2260,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
127,516755.5881,3729613.5055,-0.5083,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
128,516755.3570,3729613.0574,-0.0347,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
129,516755.3343,3729612.8257,0.0854,0.0024,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
130,516755.5756,3729613.1076,0.0068,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
131,516755.7473,3729613.2220,0.0838,0.0451,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
132,516752.0848,3729563.2215,0.1264,0.0554,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
133,516753.4486,3729562.5213,0.1924,0.1018,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
134,516752.9398,3729563.0955,0.1708,0.0951,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
135,516751.4710,3729564.1207,0.0261,0.0261,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
136,516750.4554,3729567.3585,-0.1306,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
137,516751.1777,3729565.2580,-0.0180,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
138,516750.8185,3729566.3719,-0.0737,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
139,516754.8036,3729561.8109,0.2668,0.0866,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
140,516754.3485,3729562.6174,0.2088,0.1072,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
141,516755.6915,3729561.8034,0.2879,0.0881,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
142,516756.5489,3729561.7961,0.2910,0.0880,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
143,516754.0143,3729614.3376,0.2628,0.1476,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
144,516753.8216,3729614.4899,0.2921,0.1990,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
145,516753.6629,3729614.5758,0.0843,0.4506,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
146,516753.4934,3729614.6811,0.2968,0.4128,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
147,516753.5829,3729615.0181,0.2758,0.4022,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
148,516753.4718,3729614.8707,0.3154,0.3763,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
149,516753.3212,3729614.7926,0.2498,0.4377,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
150,516753.5143,3729615.3017,0.2730,0.4302,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
151,516754.3622,3729611.6989,0.1285,0.2366,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
152,516754.1853,3729611.9684,0.1380,0.1431,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
153,516754.1061,3729612.2553,0.0768,0.0765,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
154,516753.9045,3729612.5642,-0.1124,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
155,516753.9237,3729612.3435,0.0910,0.0471,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
156,516753.7299,3729612.6687,0.0081,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
157,516753.5690,3729612.8144,-0.0241,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
158,516753.4051,3729612.9554,0.1711,0.5633,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
159,516753.2333,3729613.0832,-0.0844,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
160,516753.2560,3729613.3150,-0.1032,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
161,516753.0516,3729613.2207,-0.1215,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
162,516753.4416,3729613.6514,0.2960,0.1827,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
163,516753.2666,3729613.5293,0.0467,0.1612,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
164,516753.6347,3729613.8441,0.3232,0.2165,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
165,516753.7759,3729614.1056,0.3196,0.2053,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
166,516753.4178,3729613.8518,0.2496,0.2266,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
167,516749.5248,3729566.7901,-0.2969,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
168,516749.4435,3729567.9886,-0.3042,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
169,516747.5496,3729564.2589,-0.5376,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
170,516748.4324,3729566.1360,-0.4443,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
171,516747.2997,3729565.4010,-0.5928,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
172,516746.3493,3729562.6828,-0.6200,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
173,516746.4580,3729563.6375,-0.6626,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
174,516745.2615,3729561.8918,-0.7148,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
175,516754.8573,3729614.6741,-0.1552,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
176,516755.0445,3729614.3751,-0.1234,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
177,516755.0391,3729614.5744,-0.1798,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
178,516753.9878,3729615.2048,0.1995,0.1755,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
179,516754.6861,3729614.7708,0.0075,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
180,516754.1660,3729615.0899,-0.1735,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
181,516754.3441,3729614.9792,-0.0409,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
182,516754.5181,3729614.8772,0.2098,0.1397,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
183,516754.8578,3729614.8823,-0.2101,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
184,516753.9833,3729615.4357,0.1849,0.3397,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
185,516753.7207,3729615.6039,0.1980,0.4538,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
186,516755.4030,3729612.5347,0.1437,0.0537,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
187,516755.2525,3729612.1833,0.1538,0.0282,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
188,516754.7342,3729611.7902,0.1249,0.1944,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
189,516754.5757,3729611.4417,0.0845,0.1375,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
190,516755.0821,3729611.8180,0.1391,0.1521,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
191,516755.2215,3729614.2787,-0.1317,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
192,516755.3994,3729613.9890,-0.3006,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
193,516755.3991,3729614.1840,-0.1856,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
194,516755.5782,3729613.6980,-0.5073,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
195,516755.5776,3729613.8920,-0.3957,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
196,516755.7452,3729613.4138,-0.1395,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
197,516755.7510,3729613.5965,-0.4870,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
198,516755.5879,3729612.8360,0.1109,0.0550,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
199,516755.7496,3729613.0155,0.0951,0.0229,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
200,516755.7554,3729612.5523,0.1639,0.0357,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
201,516755.9189,3729613.1092,0.0759,0.0187,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
202,516755.9067,3729613.3106,-0.0361,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
203,516752.7985,3729563.9408,0.1692,0.0841,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
204,516753.7679,3729563.4085,0.1831,0.1181,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
205,516752.5316,3729564.9826,0.1674,0.0716,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
206,516749.6246,3729569.2248,-0.2639,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
207,516750.7403,3729568.3780,-0.0747,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
208,516751.5846,3729567.3443,0.0657,0.0074,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
209,516752.1142,3729566.1801,0.1492,0.0357,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
210,516755.2965,3729562.6197,0.2309,0.1132,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
211,516754.8310,3729563.5512,0.1984,0.1302,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
212,516756.2088,3729562.4970,0.2600,0.1054,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
213,516756.9885,3729562.2900,0.2610,0.1000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
214,516757.4624,3729561.7883,0.2719,0.0852,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
215,516753.3621,3729615.6040,0.2490,0.5031,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
216,516754.2466,3729611.2425,0.0668,0.1432,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
217,516753.6629,3729614.3268,0.1661,0.3605,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
218,516753.4983,3729614.4892,0.2019,0.4419,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
219,516753.3245,3729614.5799,0.2250,0.4775,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220,516753.1619,3729614.6892,0.0252,0.8896,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
221,516753.3101,3729615.0532,0.2947,0.3665,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
222,516753.1616,3729614.8828,0.1896,0.3882,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
223,516753.1658,3729615.3203,0.2798,0.4500,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
224,516753.9250,3729611.5793,0.1139,0.2136,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
225,516753.8663,3729612.0244,0.1252,0.1267,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
226,516753.6680,3729612.3082,0.1203,0.0621,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
227,516753.5336,3729612.5567,0.0916,0.2426,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
228,516753.3726,3729612.6734,0.0387,0.4710,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
229,516753.1997,3729612.8385,0.1100,0.4881,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230,516753.0161,3729612.9757,-0.1386,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
231,516752.8434,3729613.1304,0.0296,0.3251,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
232,516753.0720,3729613.4384,0.0387,0.1396,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
233,516752.8815,3729613.3679,0.1764,0.1706,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
